Spółka,Kwartały,Wartość księgowa,Cena/WK,Zysk na akcję,Cena/Zysk,Przychód,Cena/Przychód,Zysk operacyjny,Cena/Zysk operacyjny,Wartość księgowa Grahama,Cena/Wartość księgowa Grahama,Wartość przedsiębiorstwa,Wartość przedsiębiorstwa/Przychody,Wartość przedsiębiorstwa/EBIT,Wartość przedsiębiorstwa/EBITDA,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Udział zysku netto w przepływach operacyjnych,Wskaźnik źródeł finansowania inwestycji,Zadłużenie ogólne,Zadłużenie kapitału własnego,Zadłużenie długoterminowe,Zadłużenie środków trwałych,Pokrycie aktywów trwałych kapitałami stałymi,Trwałość struktury finansowania,Zastosowanie kapitału obcego,Wskaźnik ogólnej sytuacji finansowej,Zadłużenie netto,Zadłużenie netto / EBITDA,Zadłużenie finansowe netto,Zadłużenie finansowe netto / EBITDA,I stopień pokrycia,II stopień pokrycia,Płynność gotówkowa,Płynność szybka,Płynność bieżąca,Płynność podwyższona,Pokrycie zobowiązań należnościami,Udział kapitału pracującego w aktywach,Pokrycie kosztów kapitałem obrotowym,Rotacja należności,Cykl należności,Cykl zobowiązań,Rotacja zapasów,Cykl zapasów,Rotacja majątku obrotowego,Rotacja majątku trwałego,Rotacja majątku ogółem,Cykl operacyjny,Cykl konwersji gotówki,Data
APN,2025/Q1,"20,34","0,98","1,56","12,70","13,30","1,49","1,92","10,35","10,22","1,94","18,94","1,42","6,93","9,87","7,68%","7,14%","14,42%","11,75%","14,48%","14,85%","36,17%","8,76%","92,03%","439,72%","0,05","0,05","0,01","67,36","1,93","0,93","0,09","0,18",-9 518 000,"-0,31",-10 149 000,"-0,33","1,92","1,93","0,97","4,63","11,96","2,03","2,60","0,47","1,35","6,09",60,40,"1,27",288,"1,20","1,26","0,61",348,308,2025-05-01
APR,2025/Q1,"9,75","1,85","1,58","11,36","32,09","0,56","2,22","8,12","6,05","2,98","21,52","0,67","8,14","9,70","16,25%","9,77%","6,91%","4,94%","7,07%","6,14%","27,18%","13,68%","304,18%","58,88%","0,40","0,66","0,36","0,97","3,58","0,82","0,52","1,36",780 683 000,"2,26",459 913 000,"1,33","2,63","3,58","0,15","1,18","4,21","0,16","1,02","0,59","0,42","10,23",36,39,"2,75",133,"2,67","9,74","2,10",169,130,2025-05-01
APS,2025/Q1,"3,32","2,35","1,43","5,47","9,18","0,85","1,09","7,19","3,21","2,43","6,05","0,66","5,06","5,57","42,93%","25,11%","11,83%","15,54%","12,40%","12,38%",,"19,11%","151,50%","1,84%","0,19","0,33","0,01","22,70","3,35","0,59","0,25","0,61",-3 787 000,"-0,60",-9 291 000,"-1,47","2,40","2,43","1,73","2,46","4,13","1,73","1,87","0,57","0,41","5,42",67,53,"19,28",19,"2,30","6,49","1,70",86,33,2025-05-01
APT,2025/Q1,"18,42","0,98","2,24","8,06","37,22","0,49","2,59","6,98","3,28","5,50","21,60","0,58","4,85","8,35","12,16%","7,42%","6,95%","6,02%","8,55%","6,80%","26,29%","8,57%","44,10%","93,10%","0,39","0,63","0,10","4,31","1,33","0,67","0,78","0,95",356 154 000,"2,45",115 691 000,"0,80","1,21","1,33","0,08","0,78","1,53","0,08","0,62","0,17","0,20","5,76",63,96,"3,89",94,"2,51","2,47","1,25",157,61,2025-05-01
AQA,2025/Q1,"5,07","2,41","0,03","435,92","6,17","1,98","0,02","697,47","5,76","2,12","14,34","2,33","80,40","820,07","0,55%","0,20%","0,28%","0,45%","4,33%","-1,12%","26,70%","0,12%","-6,98%","-200,00%","0,55","1,56",,,,,"0,58","4,62",6 766 000,"44,22",1 839 000,"12,02","7,98","7,98","0,00","1,56","1,73","0,00","0,67","0,40","1,32","1,09",334,416,,,"0,47","9,57","0,45",,,2025-05-01
AQT,2024/Q3,"0,40","2,17","-2,62",,"0,30","2,89","-2,42",,"0,39","2,19","0,86","2,89","-0,38","-0,36","-661,39%","-112,19%","-811,10%","-879,66%","-385,06%","-879,66%",,"-103,45%","-961,74%",,"0,23","1,36",,,,,"0,58","0,16",1 269 000,"-0,24",-1 000,"0,00","0,28","0,28","0,00","-0,99","1,73","0,00","1,60","0,17","0,30","0,35",1 033,725,"15,19",24,"0,30","0,22","0,13",1 057,332,2024-11-01
AQU,2025/Q1,"30,35","0,45","0,84","16,33","14,81","0,93","1,03","13,40","4,20","3,29","11,45","0,77","3,08","11,11","2,78%","2,14%","6,96%","5,70%","5,25%","7,92%",,"2,61%","26,06%","110,87%","0,07","0,10","0,03","41,91","1,15","0,79","0,41","0,39",-20 422 000,"-0,42",-30 541 000,"-0,63","0,94","0,96","1,07","0,23","3,27","2,07","0,94","0,13","0,44","7,27",50,52,"31,57",12,"2,03","0,46","0,38",62,10,2025-05-01
ARG,2025/Q1,"0,07","6,31","-0,03",,"0,18","2,55","-0,03",,"0,12","4,02","0,46","2,48","-13,79","-13,58","-46,59%","-26,05%","-18,23%","-18,80%","-18,04%","-18,80%",,"-25,26%","-347,37%",,"0,10","0,18",,,,,"0,10","2,56",,,-76 000,"0,40","25,00","25,00","1,00","-1,39","9,78","1,00","0,86","0,88","0,54","11,80",31,34,"2,00",183,"1,31","58,50","1,28",214,180,2025-05-01
ARH,2025/Q1,"20,91","2,06","0,24","177,24","8,37","5,13","0,90","47,91","6,66","6,46","57,75","6,90","55,26","64,35","1,16%","0,45%","10,72%","2,90%","3,82%","9,48%","39,43%","1,68%","-6,75%","-92,03%","0,61","1,55","0,70","0,04","2,50","0,67","0,83","1,22",1 789 334 000,"29,27",863 050 000,"14,12","1,47","2,50","0,07","0,29","2,20","0,11","0,18","0,40","4,33","1,87",195,637,"0,18",2 053,"0,22","0,73","0,17",2 248,1 611,2025-05-01
ARI,2025/Q1,"0,01","79,88","0,02","44,70","0,00","198,90","-0,00",,"0,01","75,34","0,82","199,42","-2 215,79","-2 215,79","178,71%","104,22%","-9,00%","445,00%","-46,00%","462,00%",,"-2,11%","-73,43%",,"0,36","0,62","0,01",,"30,56","0,59","0,37","10,19",149 000,"-16,56",52 000,"-5,78","27,67","27,89","0,03","2,59","2,75","0,03","2,70","0,62","1,82","0,32",1 155,695,,,"0,30","7,55","0,29",,,2025-05-01
ART,2025/Q1,"9,75","1,63","2,39","6,63","8,60","1,84","2,43","6,51","8,45","1,88","15,84","1,84","6,12","6,51","24,51%","20,28%","28,31%","27,79%","28,35%","30,37%","88,45%","20,66%","456,71%","37,78%","0,17","0,21","0,05","1,37","7,87","0,87","0,19","1,45",-4 870 000,"-0,16",-99 000,"-0,00","7,47","7,87","0,31","2,47","6,92","1,61","0,86","0,76","10,67","6,69",55,68,"0,17",2 159,"0,90","5,94","0,78",2 214,2 146,2025-05-01
ASA,2025/Q1,"0,02","1,42","-0,01",,"0,02","1,50","-0,01",,"0,05","0,44","0,02","1,47","-2,09","-2,02","-56,24%","-13,30%","-72,61%","-59,40%","-19,40%","-74,21%",,"-16,26%","-364,29%",,"0,22","0,92","0,09","0,38","47,31","0,26","0,22","3,08",2 542 000,"-1,20",-93 000,"0,04","13,92","15,16","0,14","-1,94","5,01","0,14","0,69","0,79","3,00","1,57",233,451,"0,32",1 131,"0,22","1,34","0,19",1 364,913,2025-05-01
ASB,2025/Q1,"21,50","1,20","3,44","7,51","216,41","0,12","6,19","4,18","15,13","1,71","40,74","0,19","5,99","6,58","16,00%","4,56%","2,86%","1,59%","2,86%","1,90%","7,68%","8,20%","491,49%","-67,89%","0,72","2,51","0,08","2,93","3,66","0,31","0,78","2,64",2 617 483 605,"6,94",826 979 522,"2,19","3,37","3,66","0,04","0,66","1,32","0,13","0,48","0,22","0,09","9,30",39,83,"6,15",59,"3,30","35,30","3,02",98,15,2025-05-01
ASE,2025/Q1,"20,56","2,91","3,62","16,50","33,56","1,78","4,40","13,59","-5,45",,"67,88","2,02","10,70","15,42","17,62%","8,31%","13,12%","10,80%","12,93%","13,84%","25,77%","10,09%","69,04%","78,90%","0,52","1,11","0,52","0,45","1,20","0,72","1,31","1,03",879 352 000,"2,67",419 189 000,"1,27","0,79","1,20","0,42","1,30","1,44","0,49","0,69","0,12","0,23","3,76",97,136,"12,95",28,"1,97","1,31","0,79",125,-11,2025-05-01
ASM,2024/Q1,"0,95","0,25","0,27","0,88","4,25","0,06","0,44","0,55","-0,50",,"0,84","0,20","1,61","1,91","28,74%","10,21%","10,34%","6,42%","5,41%","9,12%",,"16,43%","-1 077,34%","-26,46%","0,67","1,89","0,76","0,08","1,21","0,63","1,39","0,96",94 670 000,"3,19",34 142 000,"1,15","0,69","1,21","0,13","1,21","1,21","0,13","1,00","0,08","0,06","3,87",94,116,,,"3,41","3,05","1,61",,,2024-05-01
ASR,2025/Q1,"0,06","1,43","-0,01",,"0,03","2,77","-0,00",,"-0,07",,"0,09","2,73","11,09","-129,67","-9,43%","-3,05%","-2,11%","-18,25%","-10,48%","-22,56%","49,87%","-0,35%","-89,66%",,"0,65","2,02","0,50","3,94","0,70","0,49","2,38","1,06",5 354 000,"10,90",-76 000,"-0,15","0,45","0,67","0,01","0,50","0,56","0,42","0,11","-0,22","-5,52","3,10",118,940,"22,22",16,"0,65","0,22","0,17",134,-806,2025-05-01
AST,2025/Q1,"91,31","0,58","13,83","3,84","97,42","0,55","18,48","2,87","24,83","2,14","72,69","0,75","2,70","3,93","15,15%","11,16%","18,97%","14,20%","20,94%","15,10%","38,05%","14,91%","61,64%","126,96%","0,26","0,36","0,23","2,82","1,69","0,91","0,57","0,78",652 320 217,"0,97",489 696 208,"0,73","1,37","1,69","0,57","1,60","5,02","0,57","1,02","0,37","0,89","7,88",46,47,"1,53",239,"1,60","1,57","0,79",285,238,2025-05-01
ATA,2025/Q1,"11,76","1,32","2,62","5,93","74,71","0,21","2,96","5,24","9,46","1,64","10,26","0,14","3,14","3,47","22,24%","13,83%","3,96%","3,50%","4,15%","4,56%","14,36%","15,65%","106,85%","25,20%","0,33","0,53","0,01","3,28","4,01","0,63","0,40","1,47",6 755 000,"0,31",-34 754 000,"-1,61","3,68","3,73","0,86","2,26","2,58","0,86","1,53","0,51","0,15","7,44",49,34,"50,67",7,"4,54","29,46","3,93",56,22,2025-05-01
ATC,2025/Q1,"21,17","0,74","0,85","18,56","47,51","0,33","1,31","11,97","3,01","5,22","17,78","0,37","5,87","13,57","3,99%","2,04%","2,76%","1,78%","0,73%","2,03%","14,93%","3,17%","81,41%","221,38%","0,38","0,74","0,16","6,16","1,09","0,60","0,84","0,78",859 152 000,"4,09",145 098 000,"0,69","0,93","1,09","0,27","0,92","1,53","0,27","0,60","0,16","0,17","6,81",54,78,"5,52",66,"2,55","2,25","1,20",120,42,2025-05-01
ATD,2025/Q1,"2,05","1,37","0,01","516,56","10,12","0,28","-0,23",,"-0,32",,"3,02","0,30","36,05","-13,11","0,26%","0,09%","-2,28%","0,05%","-1,73%","-2,89%","14,48%","-3,83%","1,83%","8 313,16%","0,69","2,04","0,41","0,88","1,33","0,48","1,08","1,02",132 507 000,"43,54",7 933 000,"2,61","0,94","1,33","0,15","1,11","1,15","0,16","0,80","0,09","0,06","3,80",96,122,"62,09",6,"2,44","5,17","1,66",102,-20,2025-05-01
ATG,2025/Q1,"3,72","1,06","0,28","14,17","2,94","1,33","0,41","9,55","0,67","5,84","4,12","1,40","5,59","10,04","7,44%","5,19%","13,95%","9,40%","13,25%","12,84%","20,43%","7,70%","64,19%","85,20%","0,30","0,43","0,14","3,97","1,39","0,80","0,70","0,86",72 575 000,"1,17",16 922 000,"0,27","1,21","1,39","0,15","1,52","2,12","0,69","0,83","0,23","0,60","4,05",90,106,"4,19",87,"1,48","0,97","0,58",177,71,2025-05-01
ATJ,2025/Q1,"0,50","2,11","-0,19",,"0,21","5,05","-0,17",,"0,75","1,40","1,05","5,03","-5,98","-5,98","-37,45%","-23,18%","-84,09%","-89,61%","-20,29%","-84,90%",,"-21,76%","-418,18%",,"0,06","0,09",,,,,"0,06","2,65",119 000,"-0,23",-12 000,"0,02","47,55","47,55","0,09","-5,10","17,94","0,09","0,71","0,93","2,99","8,05",45,39,"0,33",1 105,"0,26","19,87","0,26",1 150,1 111,2025-05-01
ATO,2023/Q2,"-0,82",,"-0,02",,"0,00",,"-0,02",,"-0,83",,"0,38",,"-22,12","-22,12","2,07%","-310,19%",,,,,,"-310,19%",,,"150,82","-1,01","-0,05","0,13","-153,94","-142,70","2 036,13","-329 831,88",16 289 000,"-48,62",3 904 000,"-11,65","-161,99","-154,12",,"-0,00","0,00",,,"-143,46","-48,42",,,,,,,,,,,2023-08-01
ATP,2024/Q3,"19,31","0,96","2,66","6,94","82,10","0,23","4,37","4,23","11,13","1,66","26,34","0,32","5,08","6,02","13,80%","5,92%","5,33%","3,25%","5,06%","4,13%","16,32%","9,71%","185,56%","90,31%","0,57","1,33","0,14","2,83","2,70","0,49","0,70","1,65",149 488 000,"4,74",47 763 000,"1,51","2,36","2,70","0,05","0,43","1,60","0,05","0,38","0,31","0,20","10,36",35,88,"2,87",127,"2,47","10,50","2,00",162,74,2024-11-01
ATR,2025/Q1,"6,08","4,41","2,03","13,21","21,46","1,25","2,49","10,77","1,02","26,32","28,12","1,31","10,29","11,30","33,37%","12,19%","11,60%","9,46%","11,09%","12,10%","19,15%","14,95%","68,28%","85,61%","0,63","1,74","0,15","1,36","1,38","0,42","0,91","1,10",39 928 000,"1,58",12 172 000,"0,48","1,20","1,38","0,04","1,19","1,20","0,65","0,54","0,12","0,11","3,51",104,160,"198,49",2,"1,84","5,17","1,36",106,-54,2025-05-01
ATS,2024/Q3,"2,08",,"0,00",,"0,12",,"0,12",,"2,08",,,,,,"0,05%","0,05%","96,56%","0,79%","85,20%","0,79%","100,00%","5,73%","-1,10%",,"0,00","0,00",,,,,"0,00",,-20 882 008,"-17,26",-4 279,"-0,00",,,"0,07","352,50","352,50","349,57","2,71","1,00",,"3,15",116,892,,,"0,06","0,39","0,05",,,2024-11-01
ATT,2025/Q1,"45,69","0,45","-10,30",,"135,75","0,15","-9,12",,"-131,61",,"104,67","0,77","457,23","-11,48","-22,53%","-4,06%","-6,72%","-7,58%","-9,95%","-7,63%","5,27%","-3,59%","-12,67%","103,06%","0,80","4,47","0,69","5,12","0,42","0,30","2,82","0,71",18 014 062 000,"793,29",8 341 423 000,"367,33","0,25","0,42","0,04","0,29","0,42","0,13","0,16","-0,39","-0,84","7,16",51,425,"5,88",62,"2,12","0,76","0,56",113,-312,2025-05-01
AUX,2025/Q1,"2,60","0,53","0,13","10,61","1,66","0,82","0,20","6,83","2,29","0,60","1,32","0,80","5,13","6,60","4,97%","1,25%","12,05%","7,76%","1,46%","10,62%",,"1,94%","86,54%",,"0,05","0,21","0,04","2,40","1,31","0,26","0,19","0,07",1 505 000,"1,29",-208 000,"-0,18","0,35","0,36","0,48","-9,44","6,28","0,48","5,73","0,23","1,51","0,60",613,102,,,"0,54","0,23","0,16",,,2025-05-01
AVE,2025/Q1,"0,00","114,67","-0,00",,"0,00",,"-0,01",,"0,00","114,67","0,21",,"-40,69","-40,69","-232,73%","-105,79%",,,,,,"-128,10%","79,50%",,"0,55","1,20",,,,,"0,55",,-14 000,"0,09",,,,,,"1,83","1,83","1,21","0,61","0,45",,,,,,,,,,,,2025-05-01
AWM,2025/Q1,"-0,34",,"-0,15",,"0,00","1 706,07","-0,08",,"-0,35",,"0,56","3 462,32","-6,86","-6,76","44,56%","-447,06%","-51 216,67%","-94 291,67%","-39 866,67%","-94 291,67%",,"-242,83%","126,31%","52,94%","11,03","-1,10","-0,39","0,01","-26,62","-6,15","14,35","-622,72",27 686 000,"-4,57",21 075 000,"-3,48","-43,40","-26,62","0,01","0,10","0,11","0,01","0,09","-6,38","-3,43","0,01",28 059,551 933,"152,25",2,"0,01","0,02","0,01",28 061,-523 872,2025-05-01
AZC,2025/Q1,"4,83","0,46","-0,34",,"8,45","0,27","-0,26",,"2,04","1,10","1,36","0,16","-4 631,85","-5,27","-7,13%","-4,84%","-3,05%","-4,08%","-3,05%","-3,91%",,"-3,62%","-53,14%","-677,51%","0,31","0,46","0,10","5,61","1,88","0,75","0,52","0,88",3 785 000,"-3 785,00",-3 017 000,"3 017,00","1,70","1,86","0,51","1,21","2,44","0,64","0,55","0,35","0,30","7,31",50,89,"3,45",106,"1,74","2,90","1,09",156,67,2025-05-01
B24,2025/Q1,"5,55","9,74","0,31","176,63","16,46","3,28","-0,14",,"-1,67",,"52,34","3,18","30,01","-370,78","5,51%","2,51%","-0,86%","1,86%","-2,18%","0,10%","50,13%","-1,16%","11,66%","103,27%","0,54","1,20","0,37","1,01","1,05","0,62","1,34","1,03",6 914 000,"1,75",-3 755 000,"-0,95","0,77","1,05","0,78","1,08","1,08","0,78","0,23","0,03","0,06","15,43",24,89,,,"3,89","2,37","1,47",,,2025-05-01
BBD,2025/Q1,"16,24","0,36","0,26","22,45","1,70","3,42","0,58","9,98","-6,64",,"13,11","7,72","22,55","22,55","1,59%","1,01%","34,24%","15,22%","-29,48%","9,96%","28,73%","2,28%","96,25%","7,04%","0,35","0,55","0,34","0,08","0,95","0,85","3,88","2,72",79 205 000,"13,45",74 038 000,"12,57","0,70","0,94","0,31","0,47","0,66","0,32","0,20","-0,05","-0,99","2,97",123,1 275,"3,36",109,"0,64","0,08","0,07",232,-1 043,2025-05-01
BBT,2025/Q1,"5,40","1,43","0,26","30,16","15,74","0,49","0,75","10,26","-0,23",,"6,79","0,43","3,28","9,05","4,73%","2,91%","4,77%","1,62%","5,37%","1,81%","12,42%","8,57%","19,32%","221,84%","0,38","0,62","0,15","0,13","1,10","0,71","1,07","1,03",32 369 000,"1,15",-12 361 000,"-0,44","0,96","1,10","0,38","1,23","1,23","0,38","0,85","0,07","0,05","6,67",55,70,,,"4,47","2,67","1,67",,,2025-05-01
BCM,2024/Q3,"5,04","0,82","0,43","9,59","44,48","0,09","0,41","10,11","1,63","2,53","1,90","0,04","1,47","4,67","8,52%","1,85%","0,92%","0,97%","0,78%","1,02%","14,36%","1,75%","73,72%","2 414,86%","0,78","3,59","0,39","0,24","1,97","0,30","0,92","1,30",62 502 000,"11,93",-8 966 000,"-1,71","1,42","1,97","0,15","1,19","1,22","0,16","1,03","0,15","0,10","4,13",88,91,"95,82",4,"3,27","12,25","2,58",92,1,2024-11-01
BCS,2025/Q1,"5,14","2,54","0,95","13,70","3,12","4,18","1,05","12,42","4,78","2,73","11,74","3,76","10,20","11,17","18,51%","16,34%","33,64%","30,48%","34,42%","32,95%",,"18,04%","235,35%","-2,23%","0,12","0,13","0,02","1,88","14,72","0,90","0,12","1,79",-3 312 000,"-0,70",-5 388 000,"-1,13","14,38","14,72","2,64","3,84","9,73","2,64","1,20","0,84","2,52","5,29",69,95,"0,70",525,"0,57","9,80","0,54",594,499,2025-05-01
BCX,2025/Q1,"7,03","14,00","-2,94",,"0,00",,"-2,98",,"6,49","15,16","91,82",,"-32,29","-30,86","-41,84%","-36,85%",,,,,,"-37,27%","90,76%","1,11%","0,11","0,12","0,00","15,58","11,55","0,89","0,12","1,35",-28 275 000,"2,02",-32 403 000,"2,31","11,37","11,42","7,89","8,69","8,78","7,89","0,67","0,82","1,77",,,,"1 276,41",0,,,,,,2025-05-01
BDX,2025/Q1,"52,70","10,73","23,94","23,63","357,03","1,58","28,97","19,52","-30,07",,"460,48","1,29","13,04","15,89","45,42%","7,93%","8,12%","6,70%","7,67%","8,95%","12,72%","9,60%","420,76%","-29,98%","0,82","4,69","0,76","0,98","1,10","0,31","1,14","0,71",3 331 217 000,"3,70",-2 681 093 000,"-2,98","0,62","1,10","0,56","0,92","1,05","0,56","0,36","0,03","0,03","4,38",83,217,"12,78",29,"1,64","4,42","1,20",112,-105,2025-05-01
BEE,2025/Q1,"5,01","2,52","-0,99",,"35,47","0,36","-0,54",,"5,41","2,33","15,82","0,45","-30,74","-29,31","-19,77%","-9,32%","-1,52%","-2,79%","-0,91%","-2,81%",,"-5,08%","-63,27%",,"0,48","1,01",,,,,"0,48","17,06",5 497 000,"-9,21",3 734 000,"-6,25","35,22","35,22","0,04","0,13","2,06","0,07","0,17","0,51","0,15","34,28",11,64,"3,44",106,"2,97","215,73","2,93",117,53,2025-05-01
BEP,2025/Q1,"0,22","0,61","0,00","69,15","0,01","9,44","0,00","74,79","0,17","0,80","0,15","10,26","23,87","81,25","0,89%","0,66%","12,62%","13,65%","23,46%","12,46%","59,43%","0,61%","8 400,00%","292,31%","0,12","0,16","0,05","3,02","2,89","0,78","0,17","0,40",4 010 000,"5,06",1 506 000,"1,90","2,34","2,46","0,04","2,37","8,76","0,14","3,66","0,60","122,38","0,16",2 220,589,"0,05",6 865,"0,07","0,15","0,05",9 085,8 496,2025-05-01
BER,2022/Q4,"0,00","80,90","-0,00",,"0,00","60,87","-0,00",,"0,00","49,06","0,18","61,76","-499,07","-362,07","-29,33%","-7,67%","-17,06%","-22,07%","-58,53%","-22,74%",,"-5,93%","86,84%",,"0,52","1,98",,,,,"0,55","2,86",-156 000,"4,22",264 000,"-7,14","5,23","5,23","0,03","1,41","1,83","1,35","0,48","0,43","0,81","0,68",538,783,,,"0,30","5,46","0,28",,,2023-02-01
BFT,2025/Q1,"417,82","6,90","138,27","20,87","1 184,40","2,44","202,20","14,27","-555,20",,"3 291,33","2,78","10,10","16,28","33,09%","9,26%","17,07%","11,67%","17,49%","15,94%","35,48%","13,54%","46,38%","47,69%","0,72","2,57","1,80","0,82","1,20","0,78","2,07","0,89",1 959 221 000,"2,01",1 217 247 000,"1,25","0,43","1,20","1,31","1,61","1,62","1,31","0,30","0,13","0,31","13,13",28,107,"233,59",2,"3,96","1,36","1,01",30,-77,2025-05-01
BGD,2025/Q1,"17,25","1,62","2,46","11,40","46,49","0,60","4,05","6,91","6,12","4,58","35,84","0,77","6,19","8,85","14,24%","6,61%","8,71%","5,28%","9,14%","6,27%","69,41%","10,91%","79,37%","66,58%","0,47","1,02","0,49","1,23","2,08","0,69","0,74","0,95",38 335 000,"2,70",19 248 000,"1,35","1,28","1,91","0,22","1,20","2,60","0,22","0,99","0,39","1,17","5,76",63,69,"1,47",248,"2,11","3,33","1,29",311,242,2025-05-01
BHW,2025/Q1,"79,27","1,47","13,33","8,73","39,07","2,98","17,54","6,64",,,,,,,"16,81%","2,26%","44,90%","34,11%",,,,"2,97%","28,13%","2,11%","0,87","6,45",,,,,,,24 986 252 000,"10,43",,,,,,,,,,,,"0,16",2 256,4 574,,,,,"0,07",,,2025-05-01
BHX,2025/Q1,"0,29","11,81","0,01","331,88","0,04","77,49","0,02","139,60","-0,17",,"3,40","77,49","139,60","139,60","3,56%","1,90%","55,51%","23,35%","57,71%","29,07%",,"4,51%","89,83%",,"0,44","0,83",,,,,"3,52","2,15",1 236 000,"9,81",,,"0,61","0,61",,"0,23","0,28",,"0,28","-0,32","-9,22","0,87",422,2 055,,,"0,82","0,09","0,08",,,2025-05-01
BIO,2025/Q1,"6,81","0,54","-0,19",,"2,75","1,33","-0,05",,"-0,58",,"4,21","1,53","11,13","-82,53","-2,81%","-2,14%","-1,86%","-6,96%","-2,24%","-5,37%","28,63%","-0,57%","-50,20%","97,76%","0,24","0,31","0,10","5,12","1,01","0,84","1,37","1,26",181 166 000,"5,58",47 043 000,"1,45","0,92","1,01","0,02","0,31","1,07","0,02","0,25","0,01","0,06","8,38",44,217,"1,51",242,"1,59","0,37","0,30",286,69,2025-05-01
BIP,2025/Q1,"9,35","1,96","1,04","17,52","94,70","0,19","1,84","9,95","-7,52",,"18,26","0,19","6,38","9,93","11,16%","2,74%","1,94%","1,10%","2,06%","1,32%",,"4,82%","60,95%","95,67%","0,73","2,98","0,62","2,79","0,90","0,40","1,37","0,72",83 407 000,"9,72",-126 000,"-0,01","0,53","0,85","0,00","0,48","0,92","0,00","0,52","-0,05","-0,02","9,63",38,78,"11,71",31,"5,30","5,29","2,65",69,-9,2025-05-01
BKD,2025/Q1,"1,29","2,56","-0,10",,"1,01","3,26","-0,04",,"1,43","2,30","2,62","2,59","-62,71","-62,71","-8,09%","-7,15%","-4,13%","-10,32%","7,66%","-5,95%",,"-2,86%","38,75%",,"0,01","0,01",,,,,"0,01","1,53",-1 668 000,"16,04",-1 688 000,"16,23","114,75","114,75","35,17","32,73","75,21","35,75","4,54","0,98","1,53","5,42",67,8,"2,17",168,"0,72","95,09","0,72",235,227,2025-05-01
BLO,2025/Q1,"6,59","4,47","0,52","56,35","3,92","7,51","0,60","49,12","-1,23",,"29,33","7,48","22,02","48,93","7,92%","5,16%","15,29%","13,33%","-0,02%","13,90%","29,06%","5,92%","30,51%","108,49%","0,34","0,52","0,11","1,06","0,92","0,72","1,56","1,30",43 571 000,"1,69",-2 281 000,"-0,09","0,83","0,92","0,41","0,81","0,81","0,44","0,26","-0,05","-0,25","3,72",98,226,,,"1,49","0,57","0,41",,,2025-05-01
BLT,2025/Q1,"20,86","0,81","2,34","7,25","92,91","0,18","3,34","5,09","-3,38",,"16,72","0,18","2,45","5,01","11,24%","4,69%","3,60%","2,52%","3,21%","2,64%",,"6,69%","67,36%","97,20%","0,49","1,18","0,47","2,75","1,22","0,61","1,16","0,84",73 277 000,"3,46",-860 000,"-0,04","0,73","1,06","0,02","0,57","1,43","0,06","0,77","0,13","0,07","8,00",46,58,"12,94",28,"4,64","3,27","1,92",74,16,2025-05-01
BMC,2025/Q1,"-29,00",,"-77,61",,"23,71","0,34","-32,55",,"-43,74",,"41,09","1,73","-1,36","-1,26","267,64%","-259,21%","-137,27%","-327,25%","-32,95%","-265,35%","-16,68%","-108,74%","-3 384,19%","114,37%","1,97","-2,03","-0,78","0,60","-0,43","-0,21","3,88","-7,63",838 968 000,"-1,92",477 774 000,"-1,09","-1,97","-0,43","0,03","0,17","0,42","0,03","0,05","-0,70","-0,83","10,17",36,458,"2,69",136,"1,32","0,67","0,44",172,-286,2025-05-01
BMX,2025/Q1,"11,41","1,11","0,21","60,93","13,50","0,94","0,47","27,28","-0,60",,"16,26","1,20","12,62","34,94","1,83%","1,10%","3,45%","1,54%","1,83%","1,30%",,"2,46%","-84,28%","153,71%","0,40","0,66","0,24","4,37","1,18","0,75","1,09","1,03",31 091 000,"5,76",14 943 000,"2,77","0,95","1,18","0,03","0,74","1,44","0,03","0,71","0,11","0,17","5,07",72,106,"4,04",90,"2,21","1,12","0,74",162,56,2025-05-01
BNP,2025/Q1,"109,51","1,00","16,98","6,48","79,73","1,38","21,70","5,07",,,,,,,"15,50%","1,52%","27,21%","21,29%",,,,"1,94%","28,02%","87,67%","0,90","9,20",,,,,,,86 821 203 000,"23,32",,,,,,,,,,,,"0,12",2 984,4 581,,,,,"0,07",,,2025-05-01
BOS,2025/Q1,"24,32","0,49","0,49","24,45","17,48","0,69","0,97","12,36",,,,,,,"2,02%","0,20%","5,55%","2,81%",,,,"0,39%","4,21%",,"0,90","9,34",,,,,,,8 851 077 000,"51,61",,,,,,,,,,,,"0,15",2 362,4 423,,,,,"0,07",,,2025-05-01
BOW,2025/Q1,"15,61","0,35","-0,82",,"92,33","0,06","0,01","401,47","6,22","0,87","5,13","0,06","10,35","382,12","-5,27%","-2,80%","0,01%","-0,89%","-0,56%","-1,04%",,"0,05%","-84,60%","-417,11%","0,46","0,86","0,12","3,44","1,78","0,59","0,68","1,09",241 062 000,"24,91",-5 069 000,"-0,52","1,59","1,78","0,07","0,78","1,69","0,09","0,67","0,27","0,09","12,16",30,42,"8,50",43,"4,72","9,94","3,20",73,31,2025-05-01
