Spółka,Kwartały,Wartość księgowa,Cena/WK,Zysk na akcję,Cena/Zysk,Przychód,Cena/Przychód,Zysk operacyjny,Cena/Zysk operacyjny,Wartość księgowa Grahama,Cena/Wartość księgowa Grahama,Wartość przedsiębiorstwa,Wartość przedsiębiorstwa/Przychody,Wartość przedsiębiorstwa/EBIT,Wartość przedsiębiorstwa/EBITDA,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Udział zysku netto w przepływach operacyjnych,Wskaźnik źródeł finansowania inwestycji,Zadłużenie ogólne,Zadłużenie kapitału własnego,Zadłużenie długoterminowe,Zadłużenie środków trwałych,Pokrycie aktywów trwałych kapitałami stałymi,Trwałość struktury finansowania,Zastosowanie kapitału obcego,Wskaźnik ogólnej sytuacji finansowej,Zadłużenie netto,Zadłużenie netto / EBITDA,Zadłużenie finansowe netto,Zadłużenie finansowe netto / EBITDA,I stopień pokrycia,II stopień pokrycia,Płynność gotówkowa,Płynność szybka,Płynność bieżąca,Płynność podwyższona,Pokrycie zobowiązań należnościami,Udział kapitału pracującego w aktywach,Pokrycie kosztów kapitałem obrotowym,Rotacja należności,Cykl należności,Cykl zobowiązań,Rotacja zapasów,Cykl zapasów,Rotacja majątku obrotowego,Rotacja majątku trwałego,Rotacja majątku ogółem,Cykl operacyjny,Cykl konwersji gotówki,Data
ENP,2025/Q1,"1,22","1,97","0,18","13,34","2,28","1,05","0,22","11,14","1,02","2,36","2,20","0,97","8,54","10,23","14,78%","11,48%","9,46%","7,90%","9,69%","9,04%","22,32%","13,75%","42,57%","14,46%","0,20","0,26","0,02","9,06","5,35","0,79","0,24","1,20",1 188 000,"0,23",-3 858 000,"-0,76","5,09","5,19","0,68","3,71","4,61","0,87","1,57","0,66","0,60","5,85",62,49,"6,52",56,"1,79","10,65","1,53",118,69,2025-05-01
ENT,2025/Q1,"21,27","2,82","8,94","6,71","170,93","0,35","14,29","4,20","-105,52",,"163,25","0,96","4,86","11,42","42,04%","5,90%","8,36%","5,23%","8,05%","6,25%","10,49%","9,43%","28,81%","150,49%","0,86","6,13","4,25","1,29","0,88","0,74","5,26","0,88",2 092 398 000,"3,55",1 811 324 000,"3,07","0,17","0,88","0,28","0,61","0,62","0,28","0,33","-0,10","-0,11","10,96",33,105,"257,60",1,"5,23","1,39","1,10",34,-71,2025-05-01
EON,2025/Q1,"12,71","1,49","-0,85",,"39,26","0,48","-0,35",,"4,72","4,02","15,14","0,39","29,30","-42,99","-6,69%","-4,46%","-0,90%","-2,17%","-0,80%","-1,55%","12,03%","-1,85%","-139,97%","166,99%","0,29","0,44","0,05","2,48","1,61","0,70","0,54","0,79",3 625 000,"3,41",-7 958 000,"-7,48","1,46","1,53","0,77","1,75","2,07","0,77","1,05","0,28","0,16","6,35",57,49,"35,20",10,"3,37","4,49","1,92",67,18,2025-05-01
EPR,2025/Q1,"0,28","12,10","-0,01",,"0,04","96,52","-0,01",,"0,47","7,25","3,38","96,44","-8 428,50","-292,66","-4,13%","-0,72%","-32,95%","-32,95%","-32,27%","-32,72%",,"-0,72%","-389,19%",,,,,,,,,,-38 000,"7,60",-38 000,"7,60","0,25","0,25",,,,,,"0,29","13,26","0,11",3 454,8 235,"0,37",988,"0,07","0,03","0,02",4 442,-3 793,2025-05-01
ERA,2024/Q3,"0,01","10,44","-0,01",,"0,08","1,83","-0,01",,"-0,01",,"0,18","2,18","-31,10","-26,32","-59,39%","-13,08%","-8,27%","-10,42%","-10,08%","-10,12%",,"-10,38%","-131,34%",,"0,77","3,50","0,83","0,14","0,95","0,40","1,36","0,69",7 477 000,"-7,46",4 929 000,"-4,92","0,51","0,93","0,15","0,77","0,96","0,20","0,58","-0,02","-0,02","3,52",104,184,"12,67",29,"1,76","2,73","1,07",133,-51,2024-11-01
ERB,2025/Q1,"39,55","0,98","-3,75",,"257,22","0,15","-0,32",,"-0,65",,"51,78","0,20","14,67","-160,75","-9,49%","-2,18%","-0,13%","-1,46%","-0,32%","-0,91%","6,97%","-0,19%","-47,73%","214,38%","0,70","3,06","0,67","1,06","1,27","0,38","1,01","0,77",1 224 708 000,"29,08",153 685 000,"3,65","0,76","1,27","0,18","1,11","1,27","0,19","0,90","0,15","0,11","3,15",116,131,"13,64",27,"2,12","5,49","1,53",143,12,2025-05-01
ERG,2025/Q1,"45,87","1,05","-1,97",,"85,69","0,56","-2,38",,"-6,11",,"55,98","0,65","19,21","-23,51","-4,29%","-2,26%","-2,78%","-2,29%","-3,80%","-3,69%","13,08%","-2,74%","4 100,00%","-145,53%","0,47","0,89","0,37","2,79","1,21","0,73","1,18","1,04",35 705 000,"13,99",6 992 000,"2,74","0,88","1,21","0,01","0,76","1,46","0,01","0,75","0,13","0,16","5,52",66,94,"4,53",81,"2,59","1,60","0,99",147,53,2025-05-01
ESK,2025/Q1,"-4,77",,"-0,46",,"2,31","0,08","-0,10",,"-5,16",,"0,20","0,08","-7,37","-2,00","9,56%","-25,20%","-4,23%","-19,76%","-7,79%","-19,76%","8,25%","-5,39%","-763,58%","92,19%","3,38","-1,28",,,,,"6,44","-35,72",125 828 000,"-230,03",,,"-5,54","-5,54",,"-0,03","0,16","0,00","0,03","-2,85","-2,52","9,50",38,980,"2,16",169,"1,82","2,48","1,05",207,-773,2025-05-01
EST,2023/Q4,"1,89","0,77","-0,15",,"0,27","5,37","-0,27",,"0,82","1,77","1,35","4,97","-6,90","-5,08","-8,09%","-6,48%","-97,83%","-56,34%","-124,95%","-52,00%",,"-11,25%","303,51%","-940,53%","0,18","0,23",,,,,"0,35","0,59",-8 368 991,"2,58",-1 815 097,"0,56","1,72","1,72","0,27","2,88","2,89","2,16","0,73","0,35","1,52","0,86",426,585,"206,45",2,"0,22","0,25","0,12",428,-157,2024-02-01
ETL,2025/Q1,"21,38","0,94","3,27","6,18","132,45","0,15","4,41","4,58","6,34","3,19","15,14","0,11","2,00","3,43","15,29%","7,60%","3,33%","2,47%","3,88%","3,25%","21,49%","10,25%","84,40%","-18,64%","0,46","0,92","0,17","2,74","1,59","0,58","0,76","0,95",45 861 000,"1,62",-18 983 000,"-0,67","1,25","1,47","0,46","1,02","1,63","0,46","0,66","0,23","0,10","11,51",32,59,"15,00",24,"4,45","7,88","2,84",56,-3,2025-05-01
