Spółka,Rok,Data publikacji,Aktywa trwałe,Wartości niematerialne i prawne,Wartość firmy,Rzeczowe składniki majątku trwałego,Aktywa z tytułu prawa do użytkowania,Należności długoterminowe,Inwestycje długoterminowe,Pozostałe aktywa trwałe,Aktywa obrotowe,Zapasy,Należności krótkoterminowe,Inwestycje krótkoterminowe,Środki pieniężne i inne aktywa pieniężne,Pozostałe aktywa obrotowe,Aktywa trwałe przeznaczone do sprzedaży,Aktywa razem,Kapitał własny akcjonariuszy jednostki dominującej,Kapitał (fundusz) podstawowy,Udziały (akcje) własne,Kapitał (fundusz) zapasowy,Udziały niekontrolujące,Zobowiązania długoterminowe,Z tytułu dostaw i usług,Kredyty i pożyczki,Z tytułu emisji dłużnych papierów wartościowych,Zobowiązania z tytułu leasingu finansowego,Inne zobowiązania długoterminowe,Zobowiązania krótkoterminowe,Inne zobowiązania krótkoterminowe,Rozliczenia międzyokresowe,Pasywa razem
LPP,2014,,1516416.0,315837.0,209598.0,1038837.0,,6300.0,2551.0,152891.0,1417310.0,979345.0,233840.0,183696.0,183529.0,20429.0,0.0,2933726.0,1635183.0,3662.0,-43288.0,1327279.0,3231.0,210714.0,618578.0,378346.0,0.0,7.0,6237.0,1084598.0,87667.0,0.0,2933726.0
LPP,2015,,1796996.0,324448.0,209598.0,1258751.0,,5914.0,1762.0,206121.0,1768173.0,1319735.0,197313.0,224575.0,224447.0,26550.0,0.0,3565169.0,1889739.0,3662.0,-43306.0,1558810.0,0.0,344083.0,721394.0,561074.0,0.0,0.0,59830.0,1331347.0,48879.0,0.0,3565169.0
LPP,2016,,1838664.0,330617.0,209598.0,1291338.0,,6180.0,136.0,210393.0,1839268.0,1164135.0,271697.0,365844.0,365753.0,37592.0,0.0,3677932.0,2134731.0,3679.0,-43318.0,1608298.0,0.0,267254.0,881064.0,315111.0,0.0,0.0,72221.0,1275947.0,79772.0,0.0,3677932.0
LPP,2017,,1919694.0,351177.0,209598.0,1347570.0,,4836.0,101.0,216010.0,2287125.0,1472537.0,207797.0,514790.0,514790.0,92001.0,0.0,4206819.0,2443446.0,3705.0,-43334.0,1823453.0,-15.0,233140.0,1322628.0,56496.0,0.0,0.0,91316.0,1530248.0,151124.0,0.0,4206819.0
LPP,2018,,2417752.0,376736.0,209598.0,1818316.0,,7822.0,0.0,214878.0,2963056.0,1590368.0,156629.0,1145273.0,1044969.0,70786.0,,5380808.0,2860553.0,3705.0,-43067.0,2528156.0,-15.0,346148.0,1497511.0,203196.0,0.0,0.0,257573.0,2174122.0,473415.0,0.0,5380808.0
LPP,2019,,5870719.0,413340.0,209598.0,5312623.0,3000237.0,7965.0,0.0,136791.0,3735143.0,1921139.0,151653.0,1572442.0,1361474.0,89909.0,0.0,9605862.0,3247491.0,3705.0,-41115.0,3018104.0,-15.0,3159266.0,2053635.0,109451.0,0.0,680184.0,128404.0,3199120.0,355850.0,0.0,9605862.0
LPP,2020,,5620568.0,397164.0,183203.0,5028841.0,2589063.0,13512.0,0.0,181051.0,4733200.0,2074447.0,260781.0,2302001.0,1277854.0,95971.0,0.0,10353768.0,3068391.0,3705.0,0.0,3519438.0,-15.0,3114193.0,2775815.0,521097.0,0.0,654010.0,105824.0,4171199.0,220277.0,0.0,10353768.0
LPP,2021,,7027715.0,405142.0,183203.0,6172798.0,3412312.0,18614.0,0.0,431161.0,7107533.0,3864113.0,280006.0,2718155.0,1354891.0,245259.0,0.0,14135248.0,3272112.0,3705.0,0.0,2709419.0,-15.0,3983219.0,4970841.0,535036.0,0.0,749069.0,116157.0,6879932.0,624986.0,0.0,14135248.0
LPP,2022,,7351773.0,446294.0,183203.0,6224391.0,2888435.0,314574.0,7602.0,358912.0,5569267.0,3353404.0,1002997.0,1080769.0,465046.0,132097.0,0.0,12921040.0,3986014.0,3708.0,0.0,3084747.0,-1637.0,3722711.0,3062220.0,806087.0,0.0,902471.0,117577.0,5213952.0,443174.0,0.0,12921040.0
LPP,2023,,7973400.0,532400.0,183200.0,6887600.0,3245100.0,229300.0,9000.0,315100.0,5828700.0,3040300.0,935600.0,1705700.0,1076000.0,147100.0,0.0,13802100.0,4713700.0,3700.0,0.0,2830600.0,3300.0,3431300.0,4184600.0,49000.0,0.0,1015500.0,49500.0,5653800.0,404700.0,0.0,13802100.0
