Spółka,Rok,Przychody ze sprzedaży,Zysk netto,Zysk operacyjny (EBIT),EBITDA,Aktywa trwałe,Aktywa obrotowe,Aktywa razem,Kapitał własny akcjonariuszy jednostki dominującej,Zobowiązania długoterminowe,Zobowiązania krótkoterminowe,Pasywa razem,Przepływy pieniężne z działalności operacyjnej,Przepływy pieniężne z działalności inwestycyjnej,Przepływy pieniężne razem,Lata raportu
4MS,2022,65326.0,8508.0,11838.0,13307.0,25079.0,26940.0,52019.0,33632.0,9667.0,7661.0,52019.0,7040.0,-4726.0,-1417.0,2
4MS,2023,101547.0,18138.0,23895.0,25926.0,32602.0,39955.0,72557.0,54527.0,7117.0,7112.0,72557.0,14205.0,-10279.0,6001.0,1
4MS,2024,124017.0,17488.0,20632.0,24147.0,34025.0,61056.0,95081.0,72015.0,5908.0,12267.0,95081.0,7406.0,-3172.0,830.0,0
AAT,2004,30784.0,869.0,-1113.0,-748.0,16244.0,8277.0,24521.0,3225.0,8203.0,12362.0,24521.0,5001.0,-6096.0,-78.0,20
AAT,2005,80473.0,15651.0,335.0,4489.0,16714.0,28294.0,45008.0,26277.0,2176.0,13272.0,45008.0,674.0,19119.0,-227.0,19
AAT,2006,12726.0,12835.0,650.0,1426.0,51429.0,29952.0,81381.0,48955.0,15253.0,16300.0,81381.0,-8023.0,11365.0,403.0,18
AAT,2007,20961.0,40136.0,43225.0,43994.0,225085.0,81888.0,306973.0,194744.0,78402.0,33697.0,306973.0,-13297.0,-133892.0,34790.0,17
AAT,2008,28008.0,-2914.0,10236.0,12207.0,184462.0,104649.0,289111.0,189396.0,89298.0,10679.0,289111.0,-42073.0,35928.0,-29695.0,16
AAT,2009,24689.0,-1106.0,1830.0,3537.0,187412.0,99424.0,286836.0,189016.0,88158.0,10201.0,286836.0,1360.0,-2561.0,-7976.0,15
AAT,2010,24166.0,8471.0,28298.0,29218.0,269768.0,29464.0,299232.0,196172.0,93841.0,9338.0,299232.0,1575.0,3825.0,675.0,14
AAT,2011,25185.0,-16316.0,16736.0,17396.0,245644.0,40356.0,286000.0,178802.0,67931.0,39202.0,286000.0,3331.0,8956.0,-1223.0,13
AAT,2012,18021.0,-5280.0,-8232.0,-7953.0,214640.0,57097.0,271737.0,173562.0,59667.0,38364.0,271737.0,5404.0,4613.0,1359.0,12
AAT,2013,17964.0,-4039.0,371.0,706.0,196503.0,65520.0,262023.0,169531.0,53733.0,38623.0,262023.0,-6816.0,18671.0,-202.0,11
AAT,2014,4310.0,8856.0,6869.0,6927.0,188362.0,602.0,188964.0,186207.0,1800.0,957.0,188964.0,-508.0,598.0,-10.0,10
AAT,2015,4970.0,3526.0,2958.0,2996.0,191437.0,1458.0,192895.0,189733.0,1875.0,1287.0,192895.0,658.0,-644.0,14.0,9
AAT,2016,2925.0,912.0,-1110.0,-1099.0,193699.0,1937.0,195636.0,190416.0,1093.0,4127.0,195636.0,-2312.0,1843.0,19.0,8
AAT,2017,1640.0,3981.0,3367.0,3379.0,196122.0,3352.0,199474.0,194536.0,596.0,4342.0,199474.0,-724.0,731.0,7.0,7
AAT,2018,1177.0,-6612.0,-7249.0,-7221.0,174363.0,18787.0,193150.0,188147.0,412.0,4591.0,193150.0,-1690.0,1851.0,147.0,6
AAT,2019,929.0,149.0,-518.0,-350.0,175866.0,1083.0,176949.0,172093.0,210.0,4646.0,176949.0,-1441.0,1727.0,144.0,5
AAT,2020,871.0,16679.0,7033.0,7203.0,168537.0,20779.0,189316.0,188349.0,90.0,877.0,189316.0,-1978.0,5840.0,-242.0,4
AAT,2021,760.0,7919.0,7331.0,7434.0,158950.0,41482.0,200432.0,192624.0,160.0,7648.0,200432.0,2348.0,-1010.0,1576.0,3
AAT,2022,599.0,4199.0,2557.0,2589.0,185823.0,11852.0,197675.0,196823.0,236.0,616.0,197675.0,-1585.0,83.0,-1557.0,2
AAT,2023,553.0,7585.0,6215.0,6239.0,196493.0,8863.0,205356.0,204518.0,177.0,661.0,205356.0,-1971.0,2021.0,150.0,1
AAT,2024,487.0,8849.0,8822.0,8846.0,209989.0,5412.0,215401.0,213408.0,9.0,1984.0,215401.0,-1995.0,1892.0,-62.0,0
ABE,2005,983377.0,6033.0,10463.0,11415.0,20603.0,274074.0,294677.0,49275.0,30372.0,215030.0,294677.0,15345.0,-11874.0,19660.0,19
ABE,2006,1233211.0,9636.0,15939.0,17304.0,28117.0,327764.0,355881.0,75896.0,9109.0,270876.0,355881.0,-49961.0,-9059.0,-9653.0,18
ABE,2007,3003828.0,17122.0,35412.0,39536.0,118485.0,506301.0,624786.0,201600.0,20325.0,402818.0,624786.0,-4517.0,-118282.0,-400.0,17
ABE,2008,2839738.0,26969.0,76509.0,82982.0,164924.0,508088.0,673012.0,263803.0,6069.0,403048.0,673012.0,148929.0,-24828.0,-6418.0,16
ABE,2009,2882109.0,35160.0,58276.0,66273.0,157717.0,630692.0,788409.0,283495.0,5296.0,499491.0,788409.0,2497.0,-7195.0,2769.0,15
ABE,2010,3562156.0,52707.0,61411.0,70209.0,166674.0,743094.0,909768.0,333444.0,6067.0,570116.0,909768.0,-6233.0,-16280.0,-2173.0,14
ABE,2011,4342487.0,47757.0,81314.0,91418.0,167034.0,922976.0,1090010.0,381963.0,6246.0,701660.0,1090010.0,-1524.0,-10665.0,23.0,13
ABE,2012,5430433.0,41668.0,64155.0,74159.0,165663.0,1001735.0,1167398.0,420569.0,5495.0,741226.0,1167398.0,923.0,-4922.0,-3981.0,12
ABE,2013,5758184.0,57297.0,85306.0,95966.0,168378.0,1091412.0,1259790.0,463885.0,5067.0,790838.0,1259790.0,72330.0,-15224.0,33546.0,11
ABE,2014,6793162.0,68392.0,100151.0,108429.0,260624.0,1259022.0,1519646.0,519820.0,134974.0,864852.0,1519646.0,61003.0,-95149.0,49090.0,10
ABE,2015,7553068.0,64603.0,98634.0,112292.0,274218.0,1565058.0,1839276.0,584418.0,202162.0,1052696.0,1839276.0,-68533.0,-17729.0,-68315.0,9
ABE,2016,8278017.0,67848.0,101753.0,115961.0,268497.0,1603715.0,1872212.0,663751.0,273120.0,935341.0,1872212.0,-5382.0,-9922.0,52198.0,8
ABE,2017,8236563.0,60952.0,98030.0,111471.0,269421.0,1692938.0,1962359.0,718820.0,269028.0,974511.0,1962359.0,69916.0,-5914.0,36257.0,7
ABE,2018,8793327.0,57775.0,85240.0,98302.0,260462.0,1813450.0,2073912.0,790204.0,174385.0,1109323.0,2073912.0,70011.0,-4738.0,-27169.0,6
ABE,2019,10206877.0,66383.0,95542.0,111328.0,277473.0,2337023.0,2614496.0,850251.0,156564.0,1607681.0,2614496.0,287320.0,-4282.0,189675.0,5
ABE,2020,13074310.0,123720.0,165835.0,182837.0,300649.0,2387685.0,2688334.0,992550.0,204693.0,1491091.0,2688334.0,-211651.0,-11294.0,-189791.0,4
ABE,2021,14030825.0,151112.0,212458.0,231402.0,378321.0,3044163.0,3422484.0,1143839.0,175444.0,2103201.0,3422484.0,-4503.0,-23554.0,-39045.0,3
ABE,2022,15219713.0,158053.0,270333.0,295308.0,365887.0,3044020.0,3409907.0,1293706.0,112890.0,2003311.0,3409907.0,144405.0,-11593.0,1786.0,2
ABE,2024,14658180.0,174686.0,285735.0,308638.0,357592.0,3518198.0,3875790.0,1392181.0,178905.0,2304704.0,3875790.0,237216.0,-9758.0,60338.0,0
ACG,2008,116517.0,21433.0,37027.0,38646.0,29214.0,50975.0,80189.0,49945.0,0.0,13170.0,80189.0,25021.0,-14578.0,2368.0,16
ACG,2009,106216.0,21007.0,26134.0,29051.0,27637.0,45992.0,73629.0,51945.0,4314.0,12990.0,73629.0,34026.0,-5901.0,18030.0,15
ACG,2010,118289.0,21088.0,25617.0,29150.0,29922.0,42041.0,71963.0,54341.0,0.0,13170.0,71963.0,11669.0,-6113.0,-20026.0,14
ACG,2011,140625.0,22583.0,28224.0,30800.0,44465.0,56906.0,101371.0,79788.0,0.0,11847.0,101371.0,23716.0,-13535.0,10761.0,13
ACG,2012,158979.0,25060.0,29420.0,33015.0,51723.0,67765.0,119488.0,85006.0,4819.0,15034.0,119488.0,33032.0,-21740.0,-1245.0,12
ACG,2013,171028.0,26735.0,33247.0,38184.0,65637.0,56161.0,121798.0,93609.0,0.0,12717.0,121798.0,24246.0,-6708.0,-5135.0,11
ACG,2014,168892.0,25409.0,30414.0,36926.0,68840.0,56410.0,125250.0,97668.0,0.0,11305.0,125250.0,26830.0,-10493.0,-4266.0,10
ACG,2015,166732.0,28616.0,35173.0,41671.0,67809.0,70661.0,138470.0,105240.0,0.0,16208.0,138470.0,33905.0,-4859.0,7465.0,9
ACG,2016,184891.0,30204.0,37413.0,44515.0,71781.0,59340.0,131121.0,89888.0,107.0,23975.0,131121.0,37275.0,-11077.0,-14503.0,8
ACG,2017,194414.0,30698.0,39407.0,47311.0,73796.0,76321.0,150117.0,96411.0,120.0,37829.0,150117.0,31516.0,-9064.0,14750.0,7
ACG,2018,237426.0,39009.0,49562.0,58861.0,89906.0,76527.0,166433.0,111812.0,51.0,31047.0,166433.0,50690.0,-21554.0,-13304.0,6
ACG,2019,222682.0,38183.0,46283.0,57746.0,101585.0,73183.0,174768.0,114691.0,0.0,40892.0,174768.0,41601.0,-23527.0,-2347.0,5
ACG,2020,185222.0,30898.0,36767.0,47660.0,108061.0,88876.0,196937.0,132445.0,0.0,48295.0,196937.0,18841.0,-15943.0,-33.0,4
ACG,2021,206296.0,24114.0,29771.0,41334.0,105494.0,100376.0,205870.0,134396.0,488.0,51524.0,205870.0,27646.0,-8819.0,802.0,3
ACG,2022,270457.0,36359.0,43429.0,56139.0,100528.0,112573.0,213101.0,150608.0,0.0,40718.0,213101.0,43543.0,-5325.0,-1183.0,2
ACG,2023,260016.0,28480.0,31492.0,43589.0,93856.0,129318.0,223174.0,144088.0,0.0,60635.0,223174.0,16358.0,-6248.0,570.0,1
ACG,2024,240100.0,28221.0,32267.0,44040.0,93703.0,120666.0,214369.0,144713.0,328.0,50790.0,214369.0,41492.0,-3973.0,496.0,0
ACTION,2005,1331916.0,-13576.0,-9056.0,-1405.0,54961.0,248164.0,303125.0,55915.0,3129.0,242654.0,303125.0,-4680.0,-4314.0,-1386.0,19
ACTION,2006,1436782.0,16738.0,22501.0,28965.0,49814.0,270862.0,320676.0,118794.0,459.0,198564.0,320676.0,4448.0,-4716.0,3421.0,18
ACTION,2007,1797520.0,22170.0,30366.0,37700.0,99232.0,306407.0,405639.0,137809.0,9536.0,251411.0,405639.0,-29252.0,-24036.0,275.0,17
ACTION,2008,2343368.0,35915.0,57290.0,69777.0,117433.0,455465.0,572898.0,171395.0,14729.0,376933.0,572898.0,-46993.0,-27938.0,1103.0,16
ACTION,2009,3079437.0,20723.0,38050.0,49872.0,156477.0,393332.0,549809.0,176467.0,27281.0,345535.0,549809.0,165362.0,-28324.0,-1983.0,15
ACTION,2010,2105901.0,25783.0,34551.0,46197.0,149205.0,435822.0,585027.0,188772.0,21688.0,374661.0,585027.0,-8364.0,-1334.0,854.0,14
ACTION,2011,2804768.0,42409.0,57326.0,68794.0,144496.0,632596.0,777092.0,222417.0,12537.0,542138.0,777092.0,5059.0,-5926.0,441.0,13
ACTION,2012,3515189.0,48319.0,68264.0,79625.0,137929.0,763109.0,901038.0,259586.0,5024.0,636428.0,901038.0,14741.0,-5947.0,-519.0,12
ACTION,2013,4749183.0,60734.0,82051.0,91352.0,148534.0,1005706.0,1154240.0,299153.0,7907.0,844722.0,1154240.0,101341.0,-17081.0,30060.0,11
ACTION,2014,5445189.0,68591.0,92330.0,101876.0,203398.0,1258416.0,1461814.0,345067.0,143143.0,973220.0,1461814.0,-81810.0,-62173.0,76588.0,10
ACTION,2015,5312134.0,20863.0,35016.0,48214.0,218241.0,1142946.0,1361187.0,361149.0,140113.0,861438.0,1361187.0,51122.0,-17555.0,-76260.0,9
ACTION,2016,3164837.0,-164043.0,-147536.0,-135604.0,192789.0,642745.0,835534.0,182644.0,19571.0,639236.0,835534.0,104494.0,-3897.0,114320.0,8
ACTION,2017,1700115.0,-58542.0,-50972.0,-40898.0,177914.0,452891.0,630805.0,130548.0,5756.0,502229.0,630805.0,61270.0,1184.0,-67059.0,7
ACTION,2018,1603903.0,-25238.0,-24393.0,-15455.0,167772.0,394248.0,562020.0,115787.0,0.0,455738.0,562020.0,31572.0,21.0,8099.0,6
ACTION,2019,1638927.0,-4994.0,-4975.0,3413.0,159886.0,386521.0,546407.0,110966.0,74.0,444727.0,546407.0,-13869.0,415.0,-17930.0,5
ACTION,2020,2062236.0,184925.0,156833.0,165000.0,159269.0,471350.0,630619.0,301617.0,100325.0,229991.0,630619.0,23581.0,5780.0,28942.0,4
ACTION,2021,2307109.0,100909.0,116143.0,124307.0,150874.0,484836.0,635710.0,402147.0,89319.0,145341.0,635710.0,-48594.0,-2971.0,-52032.0,3
ACTION,2022,2366956.0,48943.0,52772.0,61352.0,149050.0,498967.0,648017.0,443101.0,79084.0,126254.0,648017.0,17774.0,-5774.0,3325.0,2
ACTION,2023,2510437.0,36655.0,44069.0,53121.0,141968.0,545961.0,687929.0,447876.0,64653.0,175069.0,687929.0,69081.0,-15136.0,19559.0,1
ACTION,2024,2534056.0,41228.0,46328.0,55311.0,141845.0,513094.0,654939.0,410360.0,51743.0,191919.0,654939.0,40109.0,11494.0,-27617.0,0
ADIUVO-INVESTMENT,2013,0.0,-5550.0,-4315.0,-4312.0,53569.0,4115.0,57684.0,42038.0,10204.0,715.0,57684.0,-11059.0,-657.0,1915.0,11
ADIUVO-INVESTMENT,2014,36.0,-14583.0,-9211.0,-8803.0,52618.0,3272.0,55890.0,35620.0,14925.0,5345.0,55890.0,-6842.0,-798.0,298.0,10
ADIUVO-INVESTMENT,2015,3937.0,-20021.0,-13667.0,-13394.0,64795.0,21327.0,86122.0,47634.0,16628.0,8637.0,86122.0,-17997.0,-14074.0,12229.0,9
ADIUVO-INVESTMENT,2016,4779.0,-19304.0,-18838.0,-17883.0,61592.0,36049.0,97641.0,57958.0,14262.0,6487.0,97641.0,-20270.0,-15884.0,-4600.0,8
ADIUVO-INVESTMENT,2017,5762.0,-52562.0,-51875.0,-50786.0,52306.0,14621.0,66927.0,36640.0,8146.0,7228.0,66927.0,-32330.0,6145.0,-5652.0,7
ADIUVO-INVESTMENT,2018,2794.0,-29143.0,-25206.0,-22091.0,68118.0,14635.0,82753.0,38044.0,15552.0,13207.0,82753.0,-14562.0,-7966.0,-2147.0,6
ADIUVO-INVESTMENT,2019,1778.0,-17212.0,-16815.0,-15853.0,71516.0,4409.0,75925.0,35469.0,19819.0,9391.0,75925.0,-4306.0,-8485.0,-646.0,5
ADIUVO-INVESTMENT,2020,942.0,-16771.0,-13412.0,-12914.0,50698.0,20331.0,71029.0,21722.0,22269.0,19762.0,71029.0,-9358.0,-5931.0,1498.0,4
ADIUVO-INVESTMENT,2021,1604.0,-17751.0,431.0,828.0,53042.0,3570.0,56612.0,241.0,6792.0,42518.0,56612.0,-5777.0,-1259.0,-2654.0,3
ADIUVO-INVESTMENT,2022,173.0,-64267.0,-38320.0,-37740.0,4404.0,2526.0,6930.0,-57040.0,11854.0,47695.0,6930.0,-7615.0,-130.0,1.0,2
ADIUVO-INVESTMENT,2023,990.0,-12080.0,-6540.0,-6534.0,482.0,1724.0,2206.0,-49220.0,3774.0,43158.0,2206.0,-4980.0,106.0,558.0,1
ADIUVO-INVESTMENT,2024,334.0,-4294.0,-3508.0,-3470.0,46.0,550.0,596.0,-33403.0,466.0,34871.0,596.0,-3417.0,3108.0,-541.0,0
AGORA,2004,1001087.0,68396.0,82285.0,185625.0,1049741.0,407043.0,1456784.0,1137000.0,158067.0,160163.0,1456784.0,191980.0,-44549.0,136864.0,20
AGORA,2005,1202138.0,125613.0,150806.0,247250.0,1001186.0,502773.0,1503959.0,1125390.0,200323.0,178453.0,1503959.0,230365.0,-111087.0,-37756.0,19
AGORA,2006,1133680.0,32002.0,39640.0,116589.0,975251.0,557386.0,1532637.0,1165169.0,170345.0,197626.0,1532637.0,147059.0,33776.0,145049.0,18
AGORA,2007,1272323.0,100181.0,120273.0,198602.0,953065.0,670072.0,1623137.0,1215683.0,169947.0,237602.0,1623137.0,203167.0,-109797.0,2955.0,17
AGORA,2008,1277670.0,23302.0,44610.0,128427.0,1065819.0,532742.0,1598561.0,1167211.0,138548.0,292895.0,1598561.0,189598.0,-169628.0,-73917.0,16
AGORA,2009,1110127.0,37307.0,52865.0,134099.0,1023508.0,514728.0,1538236.0,1196281.0,99933.0,242228.0,1538236.0,152655.0,-204144.0,-139518.0,15
AGORA,2010,1116742.0,71869.0,84888.0,167353.0,1203414.0,602062.0,1805476.0,1221052.0,273497.0,295427.0,1805476.0,171554.0,-138104.0,58133.0,14
AGORA,2011,1234553.0,43789.0,51884.0,144671.0,1203299.0,600421.0,1803720.0,1246064.0,221341.0,319062.0,1803720.0,152241.0,-115549.0,-56853.0,13
AGORA,2012,1138588.0,-8105.0,-13085.0,80705.0,1209283.0,493536.0,1702819.0,1188371.0,171191.0,325578.0,1702819.0,92006.0,85445.0,65412.0,12
AGORA,2013,1073935.0,1179.0,7381.0,103469.0,1203987.0,438870.0,1642857.0,1189574.0,154947.0,280315.0,1642857.0,109468.0,-120882.0,-91363.0,11
AGORA,2014,1102417.0,-11026.0,-18297.0,77733.0,1142802.0,413697.0,1556499.0,1149589.0,116265.0,275155.0,1556499.0,97820.0,-43007.0,-47224.0,10
AGORA,2015,1189340.0,15319.0,18732.0,120720.0,1162356.0,447857.0,1610213.0,1153486.0,118589.0,321439.0,1610213.0,111076.0,-128976.0,-21167.0,9
AGORA,2016,1198432.0,-13184.0,16682.0,114870.0,1139452.0,429930.0,1569382.0,1097123.0,128389.0,323675.0,1569382.0,96994.0,-28691.0,19034.0,8
