Spółka,Rok,Data publikacji,Aktywa trwałe,Wartości niematerialne i prawne,Wartość firmy,Rzeczowe składniki majątku trwałego,Aktywa z tytułu prawa do użytkowania,Należności długoterminowe,Inwestycje długoterminowe,Pozostałe aktywa trwałe,Aktywa obrotowe,Zapasy,Należności krótkoterminowe,Inwestycje krótkoterminowe,Środki pieniężne i inne aktywa pieniężne,Pozostałe aktywa obrotowe,Aktywa trwałe przeznaczone do sprzedaży,Aktywa razem,Kapitał własny akcjonariuszy jednostki dominującej,Kapitał (fundusz) podstawowy,Udziały (akcje) własne,Kapitał (fundusz) zapasowy,Udziały niekontrolujące,Zobowiązania długoterminowe,Z tytułu dostaw i usług,Kredyty i pożyczki,Z tytułu emisji dłużnych papierów wartościowych,Zobowiązania z tytułu leasingu finansowego,Inne zobowiązania długoterminowe,Zobowiązania krótkoterminowe,Inne zobowiązania krótkoterminowe,Rozliczenia międzyokresowe,Pasywa razem,Gotówka i operacje z bankami centralnymi,Należności od banków,Aktywa finansowe przeznaczone do obrotu,Pochodne instrumenty zabezpieczające,Należności od klientów,Inwestycyjne aktywa finansowe,Inwestycje w podmioty stowarzyszone,Wartości niematerialne,Rzeczowy majątek trwały,Aktywa z tytułu odroczonego podatku dochodowego netto,Pozostałe aktywa,Zobowiązania wobec banku centralnego,Zobowiązania wobec banków,Zobowiązania finansowe przeznaczone do obrotu,Zobowiązania wobec klientów,Zobowiązania z tytułu emisji dłużnych pap. wart.,Zobowiązania podporządkowane,Zobowiązania z tytułu bieżącego podatku dochodowego,Pozostałe pasywa,Zobowiązania razem,Kapitały własne,Kapitał akcyjny,Pozostałe kapitały,Kapitał z aktualizacji wyceny,Zyski zatrzymane,Wynik roku bieżącego,Kapitały razem
11-BIT-STUDIOS,2011,,87.0,54.0,,0.0,,0.0,0.0,33.0,2899.0,1109.0,443.0,1299.0,1299.0,48.0,0.0,2986.0,2561.0,187.0,0.0,1312.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,306.0,245.0,119.0,2986.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-BIT-STUDIOS,2012,,96.0,30.0,0.0,7.0,,52.0,0.0,7.0,7241.0,2558.0,1215.0,3466.0,3466.0,2.0,0.0,7337.0,6914.0,222.0,0.0,5348.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,238.0,165.0,185.0,7337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-BIT-STUDIOS,2013,,590.0,467.0,0.0,63.0,,52.0,0.0,8.0,8123.0,3442.0,917.0,3741.0,3741.0,23.0,0.0,8713.0,7922.0,222.0,0.0,6692.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,284.0,192.0,507.0,8713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-BIT-STUDIOS,2014,,1745.0,1444.0,0.0,104.0,,52.0,5.0,140.0,19770.0,4295.0,7252.0,7644.0,7644.0,579.0,0.0,21515.0,17005.0,222.0,0.0,7701.0,0.0,0.0,248.0,0.0,0.0,0.0,0.0,2128.0,1880.0,2382.0,21515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-BIT-STUDIOS,2015,,7068.0,6388.0,0.0,438.0,,0.0,0.0,242.0,25750.0,0.0,2717.0,22971.0,22971.0,62.0,0.0,32818.0,28676.0,222.0,0.0,16936.0,0.0,571.0,1633.0,0.0,0.0,0.0,571.0,3571.0,1938.0,0.0,32818.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-BIT-STUDIOS,2016,,9490.0,7921.0,0.0,780.0,,0.0,0.0,789.0,36159.0,0.0,5453.0,29114.0,29114.0,331.0,1261.0,45649.0,42126.0,222.0,0.0,25406.0,0.0,444.0,1929.0,0.0,0.0,0.0,444.0,3079.0,1150.0,0.0,45649.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-BIT-STUDIOS,2017,,17174.0,13068.0,0.0,814.0,,0.0,3054.0,238.0,31476.0,0.0,3006.0,28176.0,28176.0,294.0,0.0,48650.0,46223.0,229.0,0.0,37915.0,0.0,763.0,1198.0,0.0,0.0,0.0,763.0,1664.0,466.0,0.0,48650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-BIT-STUDIOS,2018,,41317.0,17138.0,0.0,18734.0,,0.0,5094.0,351.0,67946.0,0.0,16398.0,51251.0,24251.0,297.0,0.0,109263.0,89912.0,229.0,0.0,46202.0,0.0,12018.0,5123.0,1452.0,0.0,0.0,678.0,7333.0,758.0,0.0,109263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-BIT-STUDIOS,2019,,49815.0,24871.0,0.0,24388.0,344.0,0.0,0.0,556.0,105853.0,12.0,23192.0,82211.0,14883.0,438.0,0.0,155668.0,119740.0,229.0,0.0,83752.0,0.0,11262.0,11430.0,1304.0,0.0,13.0,497.0,24666.0,11919.0,0.0,155668.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-BIT-STUDIOS,2020,,70398.0,37860.0,0.0,30893.0,4003.0,0.0,0.0,1645.0,115942.0,0.0,19225.0,96133.0,24134.0,584.0,0.0,186340.0,164648.0,236.0,0.0,99428.0,0.0,10469.0,9792.0,1357.0,0.0,13.0,635.0,11223.0,61.0,0.0,186340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
