Spółka,Rok,Data publikacji,Przepływy pieniężne z działalności operacyjnej,Amortyzacja,Przepływy pieniężne z działalności inwestycyjnej,CAPEX (niematerialne i rzeczowe),Przepływy pieniężne z działalności finansowej,Emisja akcji,Dywidenda,Skup akcji,Płatności z tytułu umów leasingu,Przepływy pieniężne razem,Free Cash Flow,Przepływy operacyjne razem
11-BIT-STUDIOS,2021,,40942.0,8920.0,-37401.0,28878.0,-928.0,656.0,0.0,0.0,0.0,2613.0,12064.0,
11-BIT-STUDIOS,2022,,32932.0,5891.0,-28841.0,45680.0,-253.0,1367.0,0.0,0.0,0.0,3838.0,-12748.0,
11-BIT-STUDIOS,2023,,21899.0,4172.0,-16207.0,58814.0,2328.0,3831.0,0.0,0.0,0.0,8020.0,-36915.0,
11-BIT-STUDIOS,2024,,76887.0,19813.0,-45367.0,58132.0,-1789.0,0.0,0.0,0.0,0.0,29731.0,18755.0,
11-BIT-STUDIOS,O4K,,76705.0,23483.0,-47737.0,52833.0,-1817.0,0.0,0.0,0.0,0.0,27151.0,23872.0,
3RG,2008,,1043.0,113.0,-824.0,632.0,0.0,0.0,0.0,,,219.0,411.0,
3RG,2009,,1043.0,232.0,-1046.0,1067.0,-3.0,49.0,0.0,,,-6.0,-24.0,
3RG,2010,,1966.0,507.0,-1348.0,1579.0,-115.0,0.0,0.0,,,503.0,387.0,
3RG,2011,,2312.0,875.0,-2577.0,2574.0,-153.0,0.0,0.0,0.0,,-418.0,-262.0,
3RG,2012,,4136.0,1481.0,-6021.0,6021.0,18110.0,18361.0,0.0,0.0,,16225.0,-1885.0,
3RG,2013,,-77.0,697.0,-4607.0,4823.0,-635.0,0.0,0.0,0.0,,-5319.0,-4900.0,
3RG,2014,,-668.0,873.0,-6221.0,669.0,-306.0,0.0,0.0,0.0,,-7195.0,-1337.0,
3RG,2015,,-2444.0,955.0,2434.0,1331.0,-213.0,0.0,0.0,0.0,,-223.0,-3775.0,
3RG,2016,,-2158.0,534.0,-1386.0,1394.0,1115.0,0.0,0.0,0.0,,-2429.0,-3552.0,
3RG,2017,,-3477.0,1877.0,-102.0,627.0,2559.0,1030.0,0.0,0.0,,-1020.0,-4104.0,
3RG,2018,,-4380.0,366.0,1800.0,0.0,2392.0,3109.0,0.0,0.0,0.0,-188.0,-4380.0,
3RG,2019,,-8808.0,598.0,14.0,0.0,9590.0,0.0,0.0,0.0,257.0,796.0,-9065.0,
3RG,2020,,-3809.0,172.0,389.0,0.0,3529.0,0.0,0.0,0.0,33.0,109.0,-3842.0,
3RG,2021,,-2224.0,28.0,8.0,0.0,1434.0,0.0,0.0,0.0,19.0,-782.0,-2243.0,
3RG,2022,,1634.0,0.0,0.0,0.0,-843.0,1400.0,0.0,0.0,0.0,791.0,1634.0,
3RG,2023,,908.0,0.0,0.0,0.0,-756.0,0.0,0.0,0.0,0.0,152.0,908.0,
3RG,2024,,-332.0,0.0,0.0,0.0,360.0,360.0,0.0,0.0,0.0,28.0,-332.0,
3RG,O4K,,-784.0,0.0,0.0,0.0,120.0,120.0,0.0,0.0,0.0,-664.0,-784.0,
4MS,2016,,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
4MS,2017,,-1936.0,22.0,-112.0,112.0,2014.0,2352.0,0.0,0.0,,-34.0,-2048.0,
4MS,2018,,-1793.0,47.0,-340.0,340.0,2065.0,816.0,0.0,0.0,0.0,-68.0,-2133.0,
4MS,2019,,-4015.0,259.0,-454.0,454.0,4478.0,4817.0,0.0,0.0,0.0,9.0,-4469.0,
4MS,2020,,-3780.0,635.0,-3018.0,3188.0,8115.0,3787.0,0.0,0.0,0.0,1317.0,-6968.0,
