Nazwa,Ticker,Kwartały,Kurs,Wartość księgowa na akcję,Cena/WK,Zysk na akcję,Cena/Zysk,Przychody ze sprzedaży na akcję,Cena/Przychód,Zysk operacyjny,Cena/Zysk operacyjny na akcję,Wartość księgowa Grahama na akcję,Cena/Wartość księgowa Grahama,Wartość przedsiębiorstwa na akcję,Wartość przedsiębiorstwa/Przychody,Wartość przedsiębiorstwa/EBITDA,Wartość przedsiębiorstwa/EBIT
ATAL,1AT,2021/Q4,"46,10","30,11","1,53","8,55","5,39","43,37","1,06","10,77","4,28","24,87","1,85","55,32","1,28","5,10","5,14"
ATAL,1AT,2022/Q1,"40,20","32,93","1,22","10,12","3,97","46,45","0,87","12,49","3,22","27,82","1,45","43,96","0,95","3,50","3,52"
ATAL,1AT,2022/Q2,"33,00","28,90","1,14","10,34","3,19","49,17","0,67","12,46","2,65","23,78","1,39","37,51","0,76","2,99","3,01"
ATAL,1AT,2022/Q3,"29,00","30,63","0,95","10,17","2,85","49,14","0,59","12,34","2,35","25,50","1,14","35,59","0,72","2,87","2,88"
ATAL,1AT,2022/Q4,"32,60","33,62","0,97","9,51","3,43","42,82","0,76","11,26","2,89","28,41","1,15","42,71","1,00","3,77","3,79"
ATAL,1AT,2023/Q1,"45,50","35,02","1,30","8,10","5,62","37,22","1,22","9,73","4,68","29,81","1,53","58,20","1,56","5,93","5,98"
ATAL,1AT,2023/Q2,"47,20","32,36","1,46","8,46","5,58","34,09","1,38","10,19","4,63","27,17","1,74","60,82","1,78","5,92","5,97"
ATAL,1AT,2023/Q3,"64,00","35,95","1,78","7,22","8,87","29,27","2,19","8,59","7,45","31,19","2,05","76,77","2,62","8,85","8,93"
ATAL,1AT,2023/Q4,"56,00","39,31","1,42","7,90","7,09","34,72","1,61","9,29","6,03","34,96","1,60","60,03","1,73","6,40","6,46"
ATAL,1AT,2024/Q1,"59,40","41,56","1,43","8,88","6,69","39,37","1,51","10,35","5,74","37,22","1,60","56,32","1,43","5,40","5,44"
ATAL,1AT,2024/Q2,"53,00","36,94","1,43","8,12","6,53","38,50","1,38","9,44","5,61","32,57","1,63","57,49","1,49","6,03","6,09"
ATAL,1AT,2024/Q3,"52,00","39,29","1,32","9,26","5,62","42,92","1,21","10,67","4,87","34,90","1,49","68,93","1,61","6,40","6,46"
ATAL,1AT,2024/Q4,"51,40","40,24","1,28","6,84","7,52","34,41","1,49","7,66","6,71","35,73","1,44","73,24","2,13","9,44","9,56"
ATAL,1AT,2025/Q1,"58,10","40,64","1,43","5,00","11,63","28,54","2,04","5,83","9,96","36,12","1,61","82,08","2,88","13,83","14,07"
3RGAMES,3RG,2008/Q4,"0,00","0,16",,"0,06",,"0,42",,"0,06",,"-0,02",,,,,
3RGAMES,3RG,2009/Q4,"0,00","0,44",,"0,16",,"0,59",,"0,19",,"-0,00",,,,,
3RGAMES,3RG,2010/Q4,"0,00","0,70",,"0,27",,"0,95",,"0,34",,"0,04",,,,,
3RGAMES,3RG,2011/Q4,"0,00","1,12",,"0,36",,"1,39",,"0,44",,"0,09",,,,,
3RGAMES,3RG,2012/Q1,"12,15","3,31","3,67","0,24","50,19","1,12","10,85","0,30","40,86","2,44","4,98","9,67","8,64","22,48","32,53"
3RGAMES,3RG,2012/Q2,"9,33","3,33","2,80","0,21","43,73","1,21","7,72","0,23","40,63","2,35","3,97","6,90","5,71","18,15","30,03"
3RGAMES,3RG,2012/Q3,"8,02","3,42","2,34","0,26","30,65","1,34","5,98","0,26","31,09","2,19","3,67","5,82","4,34","13,52","22,56"
3RGAMES,3RG,2012/Q4,"6,59","2,28","2,90","-1,02",,"1,39","4,73","-1,12",,"1,92","3,43","4,48","3,22","-4,87","-4,02"
3RGAMES,3RG,2013/Q1,"5,00","2,32","2,15","-1,00",,"1,50","3,34","-1,13",,"1,76","2,85","3,20","2,14","-3,35","-2,84"
3RGAMES,3RG,2013/Q2,"3,82","2,29","1,67","-1,03",,"1,59","2,41","-1,14",,"1,54","2,48","2,21","1,39","-2,23","-1,95"
3RGAMES,3RG,2013/Q3,"2,95","2,25","1,31","-1,16",,"1,57","1,88","-1,27",,"1,38","2,13","1,51","0,97","-1,31","-1,19"
3RGAMES,3RG,2013/Q4,"1,59","2,19","0,73","-0,03",,"1,58","1,01","-0,07",,"1,27","1,25","0,21","0,13","9,26","-2,96"
3RGAMES,3RG,2014/Q1,"1,48","2,16","0,69","-0,10",,"1,51","0,98","-0,13",,"0,44","3,38","1,02","0,67","-27,34","-7,74"
3RGAMES,3RG,2014/Q2,"1,21","2,10","0,58","-0,15",,"1,44","0,84","-0,17",,"0,41","2,92","0,72","0,50","-9,74","-4,30"
3RGAMES,3RG,2014/Q3,"1,14","2,10","0,54","-0,11",,"1,47","0,77","-0,13",,"0,40","2,84","0,62","0,42","-16,43","-4,89"
3RGAMES,3RG,2014/Q4,"1,19","2,02","0,59","-0,19",,"1,46","0,81","-0,24",,"0,35","3,42","0,71","0,49","-5,90","-3,00"
3RGAMES,3RG,2015/Q1,"1,09","1,99","0,55","-0,19",,"1,55","0,71","-0,24",,"0,31","3,46","0,69","0,45","-7,36","-2,90"
3RGAMES,3RG,2015/Q2,"0,72","1,04","0,69","-0,50",,"0,73","0,99","-0,50",,"0,48","1,49","0,38","0,52","-0,90","-0,75"
3RGAMES,3RG,2015/Q3,"0,90","1,02","0,89","-0,52",,"0,77","1,17","-0,53",,"0,37","2,41","0,59","0,76","-1,35","-1,11"
3RGAMES,3RG,2015/Q4,"1,50","0,81","1,85","-0,50",,"0,77","1,96","-0,50",,"0,20","7,67","1,31","1,70","-2,94","-2,64"
3RGAMES,3RG,2016/Q1,"2,25","0,77","2,94","-0,53",,"0,87","2,60","-0,53",,"0,14","15,74","2,15","2,49","-4,39","-4,10"
3RGAMES,3RG,2016/Q2,"3,52","0,74","4,77","-0,21",,"1,01","3,49","-0,22",,"0,08","42,67","3,46","3,44","-17,78","-15,65"
3RGAMES,3RG,2016/Q3,"3,69","0,71","5,17","-0,21",,"1,11","3,34","-0,22",,"0,05","78,43","3,64","3,29","-18,02","-16,76"
3RGAMES,3RG,2016/Q4,"2,90","0,87","3,33","0,02","130,18","1,18","2,46","0,02","145,79","0,09","31,11","2,89","2,45","59,26","145,50"
3RGAMES,3RG,2017/Q1,"2,19","0,83","2,65","0,02","102,55","1,24","1,77","0,02","96,43","0,07","30,77","2,22","1,79","30,15","97,56"
