Ticker,Nazwa,Kwartały,I stopień pokrycia,II stopień pokrycia,Płynność gotówkowa,Płynność szybka,Płynność bieżąca,Płynność podwyższona,Pokrycie zobowiązań należnościami,Udział kapitału pracującego w aktywach
BIP,BIOPLANET,2016/Q2,"0,47","0,97","0,00","0,56","0,99","0,00","0,56","-0,00"
BIP,BIOPLANET,2016/Q3,"0,48","0,98","0,01","0,60","0,99","0,01","0,60","-0,00"
BIP,BIOPLANET,2016/Q4,"0,48","0,99","0,01","0,57","1,01","0,01","0,57","0,00"
BIP,BIOPLANET,2017/Q1,"0,54","1,05","0,02","0,61","1,06","0,02","0,61","0,03"
BIP,BIOPLANET,2017/Q2,"0,56","1,07","0,02","0,57","1,07","0,02","0,56","0,04"
BIP,BIOPLANET,2017/Q3,"0,53","0,99","0,01","0,59","1,02","0,01","0,59","0,01"
BIP,BIOPLANET,2017/Q4,"0,54","1,01","0,01","0,60","1,02","0,01","0,60","0,01"
BIP,BIOPLANET,2018/Q1,"0,53","0,92","0,01","0,57","0,96","0,01","0,57","-0,03"
BIP,BIOPLANET,2018/Q2,"0,51","0,90","0,01","0,53","0,94","0,01","0,52","-0,04"
BIP,BIOPLANET,2018/Q3,"0,49","0,90","0,01","0,60","0,93","0,01","0,59","-0,04"
BIP,BIOPLANET,2018/Q4,"0,52","0,92","0,01","0,60","0,95","0,01","0,59","-0,03"
BIP,BIOPLANET,2019/Q1,"0,56","0,96","0,01","0,63","0,98","0,01","0,62","-0,01"
BIP,BIOPLANET,2019/Q2,"0,58","0,97","0,01","0,60","0,99","0,01","0,59","-0,00"
BIP,BIOPLANET,2019/Q3,"0,52","0,86","0,01","0,56","0,91","0,01","0,55","-0,06"
BIP,BIOPLANET,2019/Q4,"0,55","0,93","0,01","0,60","0,96","0,01","0,60","-0,02"
BIP,BIOPLANET,2020/Q1,"0,65","1,02","0,01","0,67","1,03","0,01","0,68","0,02"
BIP,BIOPLANET,2020/Q2,"0,69","1,03","0,01","0,57","1,04","0,01","0,58","0,02"
BIP,BIOPLANET,2020/Q3,"0,60","1,01","0,01","0,55","1,04","0,01","0,57","0,02"
BIP,BIOPLANET,2020/Q4,"0,54","0,94","0,00","0,50","1,04","0,00","0,58","0,02"
BIP,BIOPLANET,2021/Q1,"0,61","1,01","0,01","0,54","1,08","0,01","0,60","0,04"
BIP,BIOPLANET,2021/Q2,"0,57","0,94","0,00","0,50","1,04","0,00","0,58","0,02"
BIP,BIOPLANET,2021/Q3,"0,55","0,90","0,01","0,50","0,96","0,01","0,53","-0,02"
BIP,BIOPLANET,2021/Q4,"0,56","0,89","0,00","0,48","0,97","0,00","0,53","-0,02"
BIP,BIOPLANET,2022/Q1,"0,76","1,09","0,00","0,60","1,12","0,00","0,65","0,06"
BIP,BIOPLANET,2022/Q2,"0,59","1,32","0,00","0,80","1,54","0,00","0,86","0,18"
BIP,BIOPLANET,2022/Q3,"0,50","1,24","0,00","0,74","1,38","0,00","0,79","0,14"
BIP,BIOPLANET,2022/Q4,"0,41","1,13","0,00","0,61","1,21","0,00","0,65","0,08"
BIP,BIOPLANET,2023/Q1,"0,43","1,14","0,01","0,66","1,20","0,01","0,69","0,08"
BIP,BIOPLANET,2023/Q2,"0,44","0,88","0,00","0,47","0,91","0,00","0,49","-0,05"
BIP,BIOPLANET,2023/Q3,"0,43","0,85","0,00","0,47","0,88","0,00","0,49","-0,06"
BIP,BIOPLANET,2023/Q4,"0,44","0,80","0,00","0,44","0,85","0,00","0,47","-0,08"
BIP,BIOPLANET,2024/Q1,"0,46","0,86","0,00","0,50","0,91","0,00","0,53","-0,05"
BIP,BIOPLANET,2024/Q2,"0,46","0,84","0,00","0,44","0,88","0,00","0,47","-0,07"
BIP,BIOPLANET,2024/Q3,"0,46","0,82","0,00","0,44","0,87","0,00","0,47","-0,08"
BIP,BIOPLANET,2024/Q4,"0,48","0,81","0,01","0,45","0,87","0,01","0,48","-0,07"
BIP,BIOPLANET,2025/Q1,"0,53","0,85","0,00","0,48","0,92","0,00","0,52","-0,05"
BLO,BLOOBER,2009/Q4,"2,24","2,80","0,35","1,31","7,07","0,46","0,38","0,58"
BLO,BLOOBER,2010/Q4,"8,86","8,86","0,28","0,56","1,87","0,47","0,04","0,44"
BLO,BLOOBER,2011/Q1,,,"0,08",,,,"0,03",
BLO,BLOOBER,2011/Q2,,,"7,31",,,,"0,20",
BLO,BLOOBER,2011/Q3,,,"13,36",,,,"0,74",
BLO,BLOOBER,2011/Q4,"3,98","3,98","12,34","27,89","43,90","26,79","0,89","0,74"
BLO,BLOOBER,2012/Q1,,,"3,63",,,,"0,68",
BLO,BLOOBER,2012/Q2,"4,60","4,60","2,22","6,22","22,73","2,22","1,67","0,77"
BLO,BLOOBER,2012/Q3,"4,83","4,83","0,31","5,38","23,14","0,31","2,27","0,78"
BLO,BLOOBER,2012/Q4,"3,32","3,32","0,34","2,52","11,97","1,39","1,19","0,70"
BLO,BLOOBER,2013/Q1,"3,61","3,61","0,18","4,12","15,40","0,18","1,81","0,73"
BLO,BLOOBER,2013/Q2,"3,95","3,95","0,14","2,37","11,39","0,14","0,63","0,73"
BLO,BLOOBER,2013/Q3,"4,19","4,19","0,34","1,00","3,94","0,34","0,24","0,63"
BLO,BLOOBER,2013/Q4,"4,87","6,88","0,30","0,02","12,58","0,30","0,66","0,82"
BLO,BLOOBER,2014/Q1,"4,36","5,86","0,18","2,19","7,94","0,18","1,76","0,76"
BLO,BLOOBER,2014/Q2,"2,17","2,17","0,18","0,16","2,02","0,18","0,11","0,40"
BLO,BLOOBER,2014/Q3,"2,79","2,79","0,15","0,34","1,90","0,15","0,29","0,40"
BLO,BLOOBER,2014/Q4,"1,55","1,60","0,14","-0,02","1,62","0,14","0,05","0,31"
BLO,BLOOBER,2015/Q1,"8,39","8,72","2,16","2,41","4,85","2,16","0,59","0,73"
BLO,BLOOBER,2015/Q2,"7,36","7,61","1,65","1,48","4,29","1,65","0,20","0,70"
BLO,BLOOBER,2015/Q3,"8,16","8,43","1,42","1,35","5,62","1,42","0,44","0,75"
BLO,BLOOBER,2015/Q4,"10,32","10,32","1,47","1,66","5,58","1,47","0,67","0,76"
BLO,BLOOBER,2016/Q1,"10,13","10,13","1,59","0,65","10,23","1,59","1,57","0,84"
BLO,BLOOBER,2016/Q2,"14,36","14,36","2,39","3,31","11,97","2,39","1,76","0,87"
BLO,BLOOBER,2016/Q3,"17,07","17,07","1,80","3,15","10,81","1,80","2,14","0,87"
BLO,BLOOBER,2016/Q4,"15,39","15,39","1,76","2,74","10,39","1,76","2,15","0,86"
BLO,BLOOBER,2017/Q1,"17,14","17,14","2,03","2,63","13,12","2,03","2,22","0,89"
BLO,BLOOBER,2017/Q2,"18,13","18,29","1,65","1,79","11,66","1,65","1,39","0,88"
BLO,BLOOBER,2017/Q3,"16,65","16,97","1,93","1,94","15,66","1,94","2,12","0,89"
BLO,BLOOBER,2017/Q4,"8,17","8,28","2,56","-0,63","15,86","2,56","1,29","0,87"
BLO,BLOOBER,2018/Q1,"11,13","11,33","2,27","0,08","16,18","2,27","1,61","0,88"
BLO,BLOOBER,2018/Q2,"6,67","6,81","1,05","-0,52","8,32","1,05","0,71","0,80"
BLO,BLOOBER,2018/Q3,"5,97","6,50","0,74","-0,32","9,32","0,75","1,08","0,80"
BLO,BLOOBER,2018/Q4,"5,12","5,35","0,90","-0,68","7,11","0,90","0,57","0,77"
BLO,BLOOBER,2019/Q1,"5,50","5,96","0,89","-0,96","8,45","0,94","0,84","0,80"
BLO,BLOOBER,2019/Q2,"4,96","5,17","0,42","-1,13","6,65","0,42","0,69","0,76"
BLO,BLOOBER,2019/Q3,"5,75","5,96","0,76","-0,87","6,92","0,76","0,64","0,78"
BLO,BLOOBER,2019/Q4,"1,15","1,17","0,88","-1,12","4,36","0,88","0,69","0,47"
BLO,BLOOBER,2020/Q1,"1,13","1,19","0,68","-0,98","4,51","0,68","1,03","0,45"
BLO,BLOOBER,2020/Q2,"1,28","1,32","0,88","-0,50","4,18","0,88","0,84","0,45"
BLO,BLOOBER,2020/Q3,"1,05","1,09","0,80","-1,43","4,25","0,80","0,72","0,43"
BLO,BLOOBER,2020/Q4,"0,96","1,00","0,71","-2,41","4,81","0,72","0,66","0,45"
BLO,BLOOBER,2021/Q1,"1,13","1,18","2,62","-1,60","7,65","3,25","0,77","0,50"
BLO,BLOOBER,2021/Q2,"1,41","1,45","4,38","1,08","8,53","5,10","0,89","0,53"
BLO,BLOOBER,2021/Q3,"1,48","1,51","3,19","1,58","6,87","3,21","1,70","0,50"
BLO,BLOOBER,2021/Q4,"1,54","1,58","3,20","2,23","6,33","3,28","1,69","0,50"
BLO,BLOOBER,2022/Q1,"1,57","1,60","3,06","2,83","5,73","3,16","1,42","0,44"
BLO,BLOOBER,2022/Q2,"1,58","1,61","3,56","3,19","7,21","3,66","2,04","0,47"
BLO,BLOOBER,2022/Q3,"1,76","1,79","3,69","4,23","8,79","3,80","3,16","0,51"
BLO,BLOOBER,2022/Q4,"1,49","1,53","1,55","1,04","3,59","1,58","0,38","0,40"
BLO,BLOOBER,2023/Q1,"1,49","1,51","1,42","1,22","3,64","1,45","0,78","0,39"
BLO,BLOOBER,2023/Q2,"1,56","1,58","1,64","1,70","4,84","1,73","1,12","0,43"
BLO,BLOOBER,2023/Q3,"1,57","1,59","2,24","1,77","5,99","2,39","1,17","0,47"
BLO,BLOOBER,2023/Q4,"1,01","1,21","0,55","1,91","1,91","0,62","1,11","0,15"
BLO,BLOOBER,2024/Q1,"1,17","1,34","1,03","2,40","2,40","1,10","1,12","0,22"
BLO,BLOOBER,2024/Q2,"1,07","1,25","1,22","2,02","2,02","1,28","0,59","0,17"
BLO,BLOOBER,2024/Q3,"0,83","0,97","0,60","0,94","0,94","0,63","0,22","-0,02"
BLO,BLOOBER,2024/Q4,"0,88","1,00","0,16","1,03","1,03","0,19","0,74","0,01"
BLO,BLOOBER,2025/Q1,"0,83","0,92","0,41","0,81","0,81","0,44","0,26","-0,05"
BMC,BUMECH,2007/Q4,"6,27","6,35","1,52","3,85","5,73","1,52","2,43","0,72"
BMC,BUMECH,2008/Q4,"1,50","1,79","0,52","1,16","2,09","0,52","0,71","0,33"
BMC,BUMECH,2009/Q1,"1,14","1,39","0,03","0,55","1,53","0,03","0,60","0,20"
BMC,BUMECH,2009/Q2,"0,93","1,17","0,05","0,66","1,27","0,05","0,67","0,11"
BMC,BUMECH,2009/Q3,"0,96","1,17","0,04","0,72","1,25","0,04","0,74","0,11"
BMC,BUMECH,2009/Q4,"1,03","1,20","0,29","0,84","1,23","0,29","0,60","0,11"
BMC,BUMECH,2010/Q1,"1,35","1,51","0,24","1,00","1,37","0,24","0,78","0,18"
BMC,BUMECH,2010/Q2,"0,88","1,18","0,01","0,75","1,18","0,01","0,77","0,09"
BMC,BUMECH,2010/Q3,"1,03","1,37","0,15","0,90","1,36","0,15","0,74","0,16"
BMC,BUMECH,2010/Q4,"0,86","1,16","0,03","0,72","1,26","0,03","0,67","0,11"
BMC,BUMECH,2011/Q1,"0,78","1,09","0,01","0,68","1,12","0,01","0,65","0,06"
BMC,BUMECH,2011/Q2,"0,82","1,08","0,01","0,57","1,12","0,01","0,54","0,06"
BMC,BUMECH,2011/Q3,"0,90","1,21","0,02","0,58","1,25","0,02","0,52","0,12"
BMC,BUMECH,2011/Q4,"0,77","1,16","0,01","0,52","1,22","0,01","0,48","0,10"
BMC,BUMECH,2012/Q1,"0,77","1,07","0,01","0,52","1,12","0,01","0,48","0,06"
BMC,BUMECH,2012/Q2,"0,72","1,04","0,01","0,49","1,11","0,01","0,44","0,05"
BMC,BUMECH,2012/Q3,"0,78","1,04","0,01","0,58","1,12","0,01","0,51","0,05"
BMC,BUMECH,2012/Q4,"0,70","1,02","0,01","0,60","1,12","0,01","0,53","0,05"
BMC,BUMECH,2013/Q1,"0,68","1,12","0,03","0,72","1,34","0,03","0,61","0,11"
BMC,BUMECH,2013/Q2,"0,64","1,11","0,03","0,68","1,17","0,03","0,56","0,06"
BMC,BUMECH,2013/Q3,"0,63","1,06","0,03","0,57","1,11","0,03","0,44","0,04"
BMC,BUMECH,2013/Q4,"0,63","1,01","0,01","0,65","1,01","0,01","0,55","0,01"
BMC,BUMECH,2014/Q1,"0,67","1,04","0,01","0,64","1,05","0,01","0,54","0,02"
BMC,BUMECH,2014/Q2,"0,69","1,04","0,05","0,66","1,04","0,05","0,51","0,02"
BMC,BUMECH,2014/Q3,"0,72","1,06","0,00","0,64","1,07","0,00","0,51","0,03"
BMC,BUMECH,2014/Q4,"0,57","0,95","0,06","0,56","0,93","0,06","0,40","-0,03"
BMC,BUMECH,2015/Q1,"0,60","1,00","0,04","0,60","1,00","0,04","0,39","0,00"
BMC,BUMECH,2015/Q2,"0,60","1,03","0,02","0,62","1,05","0,02","0,53","0,02"
BMC,BUMECH,2015/Q3,"0,62","1,05","0,06","0,63","1,10","0,06","0,49","0,03"
BMC,BUMECH,2015/Q4,"0,57","0,92","0,01","0,59","0,87","0,01","0,32","-0,05"
BMC,BUMECH,2016/Q1,"0,59","0,98","0,01","0,71","0,97","0,01","0,42","-0,01"
BMC,BUMECH,2016/Q2,"0,52","0,86","0,00","0,52","0,76","0,01","0,36","-0,10"
BMC,BUMECH,2016/Q3,"0,55","0,95","0,01","0,58","0,91","0,01","0,39","-0,03"
BMC,BUMECH,2016/Q4,"0,55","0,85","0,05","0,55","0,74","0,05","0,39","-0,11"
BMC,BUMECH,2017/Q1,"0,63","0,93","0,00","0,71","0,89","0,01","0,49","-0,04"
BMC,BUMECH,2017/Q2,"0,55","0,81","0,00","0,50","0,69","0,01","0,44","-0,13"
BMC,BUMECH,2017/Q3,"0,63","0,82","0,01","0,54","0,78","0,01","0,38","-0,11"
BMC,BUMECH,2017/Q4,"0,57","0,71","0,01","0,61","0,75","0,01","0,22","-0,16"
BMC,BUMECH,2018/Q1,"0,45","0,58","0,03","0,37","0,55","0,03","0,29","-0,28"
BMC,BUMECH,2018/Q2,"0,41","0,58","0,02","0,29","0,61","0,02","0,25","-0,25"
BMC,BUMECH,2018/Q3,"0,28","0,44","0,02","0,24","0,54","0,02","0,20","-0,34"
BMC,BUMECH,2018/Q4,"0,11","0,29","0,02","0,19","0,47","0,02","0,16","-0,44"
BMC,BUMECH,2019/Q1,"0,09","0,27","0,01","0,18","0,46","0,01","0,15","-0,45"
BMC,BUMECH,2019/Q2,"0,39","0,99","0,04","0,39","0,97","0,04","0,34","-0,01"
BMC,BUMECH,2019/Q3,"0,35","0,55","0,01","0,20","0,55","0,01","0,18","-0,29"
BMC,BUMECH,2019/Q4,"0,39","0,96","0,02","0,43","0,92","0,02","0,40","-0,03"
BMC,BUMECH,2020/Q1,"0,43","1,02","0,02","0,53","1,03","0,02","0,48","0,01"
BMC,BUMECH,2020/Q2,"0,33","0,95","0,07","0,59","0,90","0,08","0,49","-0,04"
BMC,BUMECH,2020/Q3,"0,38","0,98","0,01","0,67","0,97","0,01","0,63","-0,01"
BMC,BUMECH,2020/Q4,"0,49","1,11","0,05","0,73","1,21","0,05","0,67","0,07"
BMC,BUMECH,2021/Q1,"0,10","0,92","0,14","0,44","0,90","0,15","0,24","-0,05"
BMC,BUMECH,2021/Q2,"0,15","0,91","0,20","0,52","0,90","0,20","0,20","-0,05"
BMC,BUMECH,2021/Q3,"0,26","0,96","0,11","0,55","0,95","0,12","0,25","-0,02"
BMC,BUMECH,2021/Q4,"0,61","0,92","0,10","0,45","0,80","0,10","0,13","-0,06"
BMC,BUMECH,2022/Q1,"0,65","0,96","0,09","0,43","0,89","0,09","0,14","-0,03"
BMC,BUMECH,2022/Q2,"0,83","1,13","0,51","0,94","1,27","0,51","0,25","0,08"
BMC,BUMECH,2022/Q3,"1,07","1,33","0,76","1,26","1,67","0,79","0,22","0,18"
BMC,BUMECH,2022/Q4,"1,12","1,35","0,37","1,26","1,88","0,37","0,54","0,20"
BMC,BUMECH,2023/Q1,"1,15","1,38","0,37","1,13","1,99","0,38","0,39","0,22"
BMC,BUMECH,2023/Q2,"1,03","1,26","0,16","0,95","1,79","0,16","0,37","0,16"
BMC,BUMECH,2023/Q3,"1,00","1,24","0,14","0,91","1,64","0,14","0,46","0,15"
BMC,BUMECH,2023/Q4,"0,97","1,07","0,15","0,63","1,15","0,15","0,24","0,05"
BMC,BUMECH,2024/Q1,"0,92","1,04","0,05","0,58","1,08","0,16","0,12","0,03"
BMC,BUMECH,2024/Q2,"0,84","0,94","0,03","0,40","0,87","0,04","0,12","-0,04"
BMC,BUMECH,2024/Q3,"0,81","0,91","0,01","0,35","0,79","0,02","0,11","-0,07"
BMC,BUMECH,2024/Q4,"-1,93","-0,18","0,02","0,17","0,44","0,02","0,05","-0,61"
BMC,BUMECH,2025/Q1,"-1,97","-0,43","0,03","0,17","0,42","0,03","0,05","-0,70"
BMX,BIOMAXIMA,2009/Q4,"1,67","1,94","0,02","0,92","1,89","0,11","0,79","0,31"
BMX,BIOMAXIMA,2010/Q1,"1,29","1,47","0,31","0,80","1,33","0,36","0,43","0,16"
BMX,BIOMAXIMA,2010/Q2,"2,27","2,46","0,54","2,33","4,31","0,69","1,59","0,50"
BMX,BIOMAXIMA,2010/Q3,"1,54","1,70","0,03","1,09","2,30","0,11","0,96","0,31"
BMX,BIOMAXIMA,2010/Q4,"1,34","1,56","0,00","1,03","2,07","0,25","0,76","0,27"
BMX,BIOMAXIMA,2011/Q1,"1,17","1,52","0,03","1,30","2,52","0,13","1,14","0,28"
BMX,BIOMAXIMA,2011/Q2,"1,27","1,67","0,00","1,14","2,36","0,08","1,05","0,31"
BMX,BIOMAXIMA,2011/Q3,"1,25","1,62","0,09","1,20","2,55","0,18","1,00","0,31"
BMX,BIOMAXIMA,2011/Q4,"1,12","1,47","0,08","1,18","2,20","0,18","0,98","0,25"
BMX,BIOMAXIMA,2012/Q1,"1,12","1,48","0,08","1,01","2,00","0,08","0,91","0,25"
BMX,BIOMAXIMA,2012/Q2,"1,11","1,46","0,00","1,00","1,34","0,69","0,30","0,16"
BMX,BIOMAXIMA,2012/Q3,"1,09","1,41","0,00","0,96","1,32","0,68","0,29","0,15"
BMX,BIOMAXIMA,2012/Q4,"1,59","1,87","0,23","1,64","2,88","0,31","0,98","0,38"
BMX,BIOMAXIMA,2013/Q1,"1,55","1,81","0,06","1,46","2,80","0,14","0,90","0,36"
BMX,BIOMAXIMA,2013/Q2,"1,51","1,75","0,12","1,34","2,53","0,19","0,83","0,34"
BMX,BIOMAXIMA,2013/Q3,"1,60","2,12","0,35","3,20","6,24","0,52","1,86","0,48"
BMX,BIOMAXIMA,2013/Q4,"1,37","1,78","0,20","1,59","3,17","0,29","0,97","0,37"
BMX,BIOMAXIMA,2014/Q1,"1,43","1,83","0,13","1,95","4,00","0,25","1,23","0,40"
BMX,BIOMAXIMA,2014/Q2,"1,46","1,83","0,30","1,49","2,84","0,38","0,82","0,37"
BMX,BIOMAXIMA,2014/Q3,"1,51","1,69","0,04","1,08","2,20","0,11","0,70","0,31"
BMX,BIOMAXIMA,2014/Q4,"1,58","1,76","0,06","1,15","2,34","0,11","0,74","0,33"
BMX,BIOMAXIMA,2015/Q1,"1,68","1,85","0,11","1,29","2,45","0,16","0,82","0,35"
BMX,BIOMAXIMA,2015/Q2,"1,78","1,95","0,10","1,44","2,68","0,16","0,98","0,38"
BMX,BIOMAXIMA,2015/Q3,"1,85","2,32","0,23","2,84","5,38","0,35","1,95","0,50"
BMX,BIOMAXIMA,2015/Q4,"1,84","2,27","0,37","2,70","5,12","0,47","1,76","0,49"
BMX,BIOMAXIMA,2016/Q1,"1,93","2,37","0,91","4,21","7,62","1,06","2,38","0,53"
BMX,BIOMAXIMA,2016/Q2,"1,93","2,29","0,56","2,88","5,26","0,60","1,83","0,50"
BMX,BIOMAXIMA,2016/Q3,"1,91","2,03","0,15","1,46","2,94","0,17","1,00","0,40"
BMX,BIOMAXIMA,2016/Q4,"1,78","1,88","0,13","1,18","2,54","0,14","0,81","0,36"
BMX,BIOMAXIMA,2017/Q1,"1,86","2,00","0,19","1,26","2,54","0,04","0,85","0,38"
BMX,BIOMAXIMA,2017/Q2,"1,95","2,09","0,16","1,27","2,55","0,17","0,89","0,39"
BMX,BIOMAXIMA,2017/Q3,"1,96","2,08","0,29","1,21","2,43","0,29","0,82","0,39"
BMX,BIOMAXIMA,2017/Q4,"1,80","1,92","0,11","1,06","2,35","0,11","0,73","0,36"
BMX,BIOMAXIMA,2018/Q1,"1,44","1,72","0,12","1,01","2,15","0,12","0,71","0,32"
BMX,BIOMAXIMA,2018/Q2,"0,88","1,17","0,02","0,48","1,56","0,02","0,55","0,17"
BMX,BIOMAXIMA,2018/Q3,"0,72","0,98","0,06","0,35","1,25","0,06","0,43","0,09"
BMX,BIOMAXIMA,2018/Q4,"0,65","0,94","0,07","0,23","1,18","0,07","0,37","0,06"
BMX,BIOMAXIMA,2019/Q1,"0,66","1,10","0,07","0,28","1,74","0,08","0,51","0,17"
BMX,BIOMAXIMA,2019/Q2,"0,62","1,05","0,04","0,27","1,59","0,04","0,52","0,15"
BMX,BIOMAXIMA,2019/Q3,"0,63","1,00","0,05","0,02","1,77","0,05","0,53","0,17"
BMX,BIOMAXIMA,2019/Q4,"0,73","0,99","0,00","0,22","1,52","0,04","0,48","0,14"
BMX,BIOMAXIMA,2020/Q1,"0,65","0,94","0,09","-0,15","1,79","0,09","0,48","0,18"
BMX,BIOMAXIMA,2020/Q2,"0,85","1,06","0,04","0,06","1,73","0,04","0,47","0,20"
BMX,BIOMAXIMA,2020/Q3,"0,90","1,14","0,23","0,36","1,82","0,23","0,57","0,23"
BMX,BIOMAXIMA,2020/Q4,"1,02","1,30","0,39","0,51","2,42","0,39","0,65","0,30"
BMX,BIOMAXIMA,2021/Q1,"1,17","1,66","0,26","1,18","2,29","0,26","0,91","0,30"
BMX,BIOMAXIMA,2021/Q2,"0,98","1,48","0,19","1,11","2,16","0,19","0,92","0,25"
BMX,BIOMAXIMA,2021/Q3,"0,97","1,46","0,24","1,26","2,28","0,24","1,02","0,25"
BMX,BIOMAXIMA,2021/Q4,"1,03","1,57","0,17","1,13","1,93","0,17","0,95","0,26"
BMX,BIOMAXIMA,2022/Q1,"1,88","2,31","1,89","2,55","4,37","1,89","0,65","0,48"
BMX,BIOMAXIMA,2022/Q2,"1,91","2,31","2,53","3,21","4,32","2,53","0,68","0,49"
BMX,BIOMAXIMA,2022/Q3,"1,65","2,00","1,73","2,78","4,03","1,73","1,05","0,43"
BMX,BIOMAXIMA,2022/Q4,"1,37","1,66","1,18","2,13","3,30","1,18","0,96","0,34"
BMX,BIOMAXIMA,2023/Q1,"1,30","1,56","0,84","2,05","3,69","0,84","1,21","0,32"
BMX,BIOMAXIMA,2023/Q2,"1,09","1,32","0,09","1,07","2,59","0,09","0,98","0,21"
BMX,BIOMAXIMA,2023/Q3,"1,00","1,24","0,15","0,85","2,24","0,15","0,70","0,17"
BMX,BIOMAXIMA,2023/Q4,"0,92","1,24","0,14","0,96","2,19","0,14","0,82","0,17"
BMX,BIOMAXIMA,2024/Q1,"0,93","1,26","0,07","1,06","2,28","0,07","0,99","0,18"
BMX,BIOMAXIMA,2024/Q2,"0,92","1,21","0,08","0,78","1,83","0,08","0,70","0,14"
BMX,BIOMAXIMA,2024/Q3,"0,92","1,17","0,03","0,68","1,56","0,03","0,65","0,12"
BMX,BIOMAXIMA,2024/Q4,"0,93","1,16","0,05","0,70","1,48","0,05","0,64","0,11"
BMX,BIOMAXIMA,2025/Q1,"0,95","1,18","0,03","0,74","1,44","0,03","0,71","0,11"
BNP,BNPPPL,2009/Q4,,,,,,,,
BNP,BNPPPL,2010/Q4,,,,,,,,
BNP,BNPPPL,2011/Q1,,,,,,,,
BNP,BNPPPL,2011/Q2,,,,,,,,
BNP,BNPPPL,2011/Q3,,,,,,,,
BNP,BNPPPL,2011/Q4,,,,,,,,
BNP,BNPPPL,2012/Q1,,,,,,,,
BNP,BNPPPL,2012/Q2,,,,,,,,
BNP,BNPPPL,2012/Q3,,,,,,,,
BNP,BNPPPL,2012/Q4,,,,,,,,
BNP,BNPPPL,2013/Q1,,,,,,,,
BNP,BNPPPL,2013/Q2,,,,,,,,
BNP,BNPPPL,2013/Q3,,,,,,,,
BNP,BNPPPL,2013/Q4,,,,,,,,
BNP,BNPPPL,2014/Q1,,,,,,,,
BNP,BNPPPL,2014/Q2,,,,,,,,
BNP,BNPPPL,2014/Q3,,,,,,,,
BNP,BNPPPL,2014/Q4,,,,,,,,
BNP,BNPPPL,2015/Q1,,,,,,,,
BNP,BNPPPL,2015/Q2,,,,,,,,
BNP,BNPPPL,2015/Q3,,,,,,,,
BNP,BNPPPL,2015/Q4,,,,,,,,
BNP,BNPPPL,2016/Q1,,,,,,,,
BNP,BNPPPL,2016/Q2,,,,,,,,
BNP,BNPPPL,2016/Q3,,,,,,,,
BNP,BNPPPL,2016/Q4,,,,,,,,
BNP,BNPPPL,2017/Q1,,,,,,,,
BNP,BNPPPL,2017/Q2,,,,,,,,
BNP,BNPPPL,2017/Q3,,,,,,,,
BNP,BNPPPL,2017/Q4,,,,,,,,
BNP,BNPPPL,2018/Q1,,,,,,,,
BNP,BNPPPL,2018/Q2,,,,,,,,
BNP,BNPPPL,2018/Q3,,,,,,,,
BNP,BNPPPL,2018/Q4,,,,,,,,
BNP,BNPPPL,2019/Q1,,,,,,,,
BNP,BNPPPL,2019/Q2,,,,,,,,
BNP,BNPPPL,2019/Q3,,,,,,,,
BNP,BNPPPL,2019/Q4,,,,,,,,
BNP,BNPPPL,2020/Q1,,,,,,,,
BNP,BNPPPL,2020/Q2,,,,,,,,
BNP,BNPPPL,2020/Q3,,,,,,,,
BNP,BNPPPL,2020/Q4,,,,,,,,
BNP,BNPPPL,2021/Q1,,,,,,,,
BNP,BNPPPL,2021/Q2,,,,,,,,
BNP,BNPPPL,2021/Q3,,,,,,,,
BNP,BNPPPL,2021/Q4,,,,,,,,
BNP,BNPPPL,2022/Q1,,,,,,,,
BNP,BNPPPL,2022/Q2,,,,,,,,
BNP,BNPPPL,2022/Q3,,,,,,,,
BNP,BNPPPL,2022/Q4,,,,,,,,
BNP,BNPPPL,2023/Q1,,,,,,,,
BNP,BNPPPL,2023/Q2,,,,,,,,
BNP,BNPPPL,2023/Q3,,,,,,,,
BNP,BNPPPL,2023/Q4,,,,,,,,
BNP,BNPPPL,2024/Q1,,,,,,,,
BNP,BNPPPL,2024/Q2,,,,,,,,
BNP,BNPPPL,2024/Q3,,,,,,,,
BNP,BNPPPL,2024/Q4,,,,,,,,
BNP,BNPPPL,2025/Q1,,,,,,,,
BOS,BOS,2007/Q4,,,,,,,,
BOS,BOS,2008/Q1,,,,,,,,
BOS,BOS,2008/Q2,,,,,,,,
BOS,BOS,2008/Q3,,,,,,,,
BOS,BOS,2008/Q4,,,,,,,,
BOS,BOS,2009/Q1,,,,,,,,
BOS,BOS,2009/Q2,,,,,,,,
BOS,BOS,2009/Q3,,,,,,,,
BOS,BOS,2009/Q4,,,,,,,,
BOS,BOS,2010/Q1,,,,,,,,
BOS,BOS,2010/Q2,,,,,,,,
BOS,BOS,2010/Q3,,,,,,,,
BOS,BOS,2010/Q4,,,,,,,,
BOS,BOS,2011/Q1,,,,,,,,
BOS,BOS,2011/Q2,,,,,,,,
BOS,BOS,2011/Q3,,,,,,,,
BOS,BOS,2011/Q4,,,,,,,,
BOS,BOS,2012/Q1,,,,,,,,
BOS,BOS,2012/Q2,,,,,,,,
BOS,BOS,2012/Q3,,,,,,,,
BOS,BOS,2012/Q4,,,,,,,,
BOS,BOS,2013/Q1,,,,,,,,
BOS,BOS,2013/Q2,,,,,,,,
BOS,BOS,2013/Q3,,,,,,,,
