Nazwa,Ticker,Wartość księgowa na akcję,Cena/WK,Zysk na akcję,Cena/Zysk,Przychody ze sprzedaży na akcję,Cena/Przychód,Zysk operacyjny,Cena/Zysk operacyjny,Wartość księgowa Grahama na akcję,Cena/Wartość księgowa Grahama,Wartość przedsiębiorstwa na akcję,Wartość przedsiębiorstwa/Przychody,Wartość przedsiębiorstwa/EBITDA,Wartość przedsiębiorstwa/EBIT,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Zadłużenie ogólne,Zadłużenie kapitału własnego,Zadłużenie długoterminowe,Zadłużenie środków trwałych,Pokrycie aktywów trwałych kapitałami stałymi,Trwałość struktury finansowania,Zastosowanie kapitału obcego,Wskaźnik ogólnej sytuacji finansowej,Zadłużenie netto,Zadłużenie netto / EBITDA,Zadłużenie finansowe netto,Zadłużenie finansowe netto / EBITDA
TERMOREX,TERMO-REX,0.28,2.43,0.02,37.36,0.17,4.14,0.01,121.48,0.08,8.37,0.64,3.84,69.26,112.65,6.5,5.8,3.41,11.07,9.56,13.84,30.26,1.78,0.11,0.12,0.06,5.66,1.49,0.94,0.3,0.42,-2412000,-2.32,-5651000.0,-5.43
TESGAS,TESGAS,7.33,0.41,-0.39,,6.19,0.49,-0.45,,1.76,1.71,1.57,0.25,-53.39,-3.49,-5.32,-3.94,-7.25,-6.31,-6.35,-7.07,14.43,-4.53,0.25,0.34,0.12,5.59,1.46,0.83,0.59,0.76,1828000,-5.49,-16386000.0,49.21
TENDERHUT,THG,8.5,0.7,-1.66,,20.91,0.29,-0.74,,1.14,5.25,6.77,0.32,-19.72,-9.1,-19.49,-13.19,-3.56,-7.92,2.28,-5.46,,-5.93,0.33,0.49,0.11,0.08,1.3,0.75,0.78,0.92,7238000,-9.2,1818000.0,-2.31
TORPOL,TORPOL,23.49,1.66,2.93,13.35,68.92,0.57,3.41,11.47,13.38,2.92,26.79,0.39,5.88,7.86,12.47,6.18,4.95,4.25,5.25,5.25,8.19,7.2,0.5,1.02,0.19,1.78,2.78,0.59,0.64,1.49,185769000,1.78,-282801000.0,-2.7
TOYA,TOYA,6.75,1.01,1.02,6.65,11.42,0.6,1.31,5.2,5.33,1.28,7.08,0.62,4.48,5.41,15.14,10.42,11.46,8.95,10.58,11.21,34.06,13.33,0.31,0.45,0.04,5.15,4.92,0.71,0.37,1.73,189108000,1.6,20662000.0,0.17
TRAKCJA,TRAKCJA,0.78,2.91,0.08,27.38,4.54,0.5,0.12,18.26,-0.19,,1.92,0.42,9.5,15.47,10.62,2.51,2.74,1.83,2.81,1.69,5.71,3.76,0.76,3.22,0.5,1.3,1.19,0.35,1.08,0.86,835807000,8.94,-159888000.0,-1.71
TRANSPOL,TRANS-POLONIA,6.2,0.48,0.18,16.99,9.62,0.31,0.2,15.07,-0.2,,3.9,0.41,3.81,19.64,2.84,1.67,2.06,1.83,0.8,2.68,7.82,1.88,0.41,0.7,0.34,2.39,1.29,0.79,1.05,1.01,48735000,2.09,20714000.0,0.89
TEXT,TXT,5.3,9.99,6.39,8.28,13.75,3.85,6.89,7.68,1.84,28.8,50.08,3.64,6.4,7.27,120.53,72.53,50.08,46.42,50.06,50.18,79.71,78.24,0.4,0.66,0.05,0.99,1.6,0.63,0.66,1.0,12583000,0.06,-72698000.0,-0.36
ULTGAMES,ULG,4.71,1.94,0.58,15.88,5.58,1.64,0.95,9.57,5.51,1.66,7.78,1.4,7.99,8.15,12.22,9.92,17.12,10.32,17.14,12.93,,16.46,0.02,0.02,0.02,0.47,28.39,0.83,0.02,0.47,-6624000,-1.3,-7116000.0,-1.4
ULMA,ULMA-CONSTRUCCION,63.8,0.96,2.82,21.8,43.48,1.41,3.61,17.02,-3.18,,64.34,1.48,4.61,17.8,4.42,3.49,8.31,6.49,9.29,8.17,21.44,4.47,0.21,0.27,0.09,11.45,1.04,0.86,1.23,1.17,80222000,1.09,14915000.0,0.2
