Nazwa,Ticker,Wartość księgowa na akcję,Cena/WK,Zysk na akcję,Cena/Zysk,Przychody ze sprzedaży na akcję,Cena/Przychód,Zysk operacyjny,Cena/Zysk operacyjny,Wartość księgowa Grahama na akcję,Cena/Wartość księgowa Grahama,Wartość przedsiębiorstwa na akcję,Wartość przedsiębiorstwa/Przychody,Wartość przedsiębiorstwa/EBITDA,Wartość przedsiębiorstwa/EBIT,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Zadłużenie ogólne,Zadłużenie kapitału własnego,Zadłużenie długoterminowe,Zadłużenie środków trwałych,Pokrycie aktywów trwałych kapitałami stałymi,Trwałość struktury finansowania,Zastosowanie kapitału obcego,Wskaźnik ogólnej sytuacji finansowej,Zadłużenie netto,Zadłużenie netto / EBITDA,Zadłużenie finansowe netto,Zadłużenie finansowe netto / EBITDA
DECORA,DECORA,35.37,1.98,7.45,9.39,58.09,1.21,9.69,7.22,9.97,7.02,72.99,1.26,6.07,7.53,21.08,15.06,16.69,12.83,18.06,16.28,42.11,19.58,0.29,0.4,0.17,3.58,1.63,0.84,0.59,0.82,105049000,0.83,31505000.0,0.25
DEKPOL,DEKPOL,78.39,0.68,12.22,4.39,166.9,0.32,16.87,3.18,37.28,1.44,70.26,0.42,3.71,4.16,15.58,5.84,10.11,7.32,11.03,9.21,19.82,8.06,0.62,1.64,0.7,0.34,3.09,0.64,0.78,1.41,729874000,4.61,139329000.0,0.88
DELKO,DELKO,12.58,0.57,0.43,16.82,67.26,0.11,0.75,9.56,0.04,185.59,13.34,0.2,6.1,17.72,3.4,1.52,1.12,0.64,1.33,0.9,,2.67,0.55,1.24,0.27,2.14,1.27,0.57,1.0,1.0,161001000,6.15,73443000.0,2.81
DGA,DGA,12.78,1.49,-1.3,,2.7,7.05,-2.95,,9.5,2.0,8.28,3.07,-2.89,-2.81,-10.15,-5.14,-109.32,-48.11,-112.24,-60.45,-55.04,-11.68,0.49,0.97,0.11,1.25,4.31,0.56,0.57,2.21,-7855000,2.43,-12117000.0,3.75
DRAGOENT,DGE,13.38,1.73,3.0,7.74,18.33,1.27,3.15,7.36,13.83,1.68,22.51,1.23,6.74,7.14,22.39,19.66,17.19,16.34,19.9,17.69,,20.68,0.07,0.08,,,,,0.08,3.51,473000,0.13,-745000.0,-0.21
DIAG,DIA,12.4,,6.62,,57.77,,10.01,,-28.36,,,,,,53.35,13.0,17.33,11.45,16.24,14.93,,19.67,0.75,3.07,2.12,0.89,0.94,0.76,3.93,1.18,1243671000,2.49,928905000.0,1.86
DIGITANET,DIG,12.44,4.74,6.36,9.27,18.33,3.22,8.03,7.35,2.39,24.71,59.54,3.25,5.46,7.41,51.15,29.71,43.8,34.72,43.68,47.22,58.38,37.49,0.39,0.68,0.36,1.77,1.6,0.79,0.78,0.92,4157000,0.09,2277000.0,0.05
DMGROUP,DMG,3.0,1.52,0.42,10.83,5.69,0.8,0.56,8.17,-0.19,,5.19,0.91,7.32,9.29,14.03,8.67,9.8,7.39,9.35,8.57,,11.5,0.38,0.62,0.1,5.91,1.03,0.68,1.12,1.05,150456000,2.43,54594000.0,0.88
DINOPL,DNP,75.5,5.98,15.51,29.1,305.56,1.48,19.63,22.99,-15.54,,458.9,1.5,19.08,23.37,20.55,11.88,6.43,5.08,6.38,6.06,23.56,15.03,0.42,0.73,0.08,14.17,0.9,0.63,1.39,1.15,5004913000,2.12,735619000.0,0.31
DOMDEV,DOM-DEVELOPMENT,71.64,2.99,22.49,9.54,124.2,1.73,27.43,7.82,63.57,3.37,230.37,1.85,8.11,8.4,31.39,10.74,22.09,18.11,23.07,22.43,32.23,13.1,0.66,1.92,0.4,0.09,12.45,0.48,0.68,6.07,3052650000,4.16,409522000.0,0.56
DIGITREE,DTR,5.49,2.17,-2.21,,29.49,0.4,-1.94,,-0.26,,12.24,0.42,-22.55,-6.29,-40.18,-20.1,-6.59,-7.48,-2.66,-6.93,,-17.71,0.49,0.99,0.1,0.69,1.04,0.55,1.05,0.99,11615000,-8.61,839000.0,-0.62
DEVELIA,DVL,3.9,1.67,0.79,8.27,3.59,1.82,0.85,7.71,2.85,2.29,7.64,2.13,8.86,9.03,20.23,8.1,23.59,21.99,24.06,25.95,33.74,8.69,0.6,1.5,0.42,0.04,5.26,0.57,0.67,2.49,1986746000,5.04,510900000.0,1.29
AMREST,EAT,7.02,2.42,0.03,577.17,50.17,0.34,2.19,7.76,-32.97,,45.63,0.91,6.19,20.85,0.42,0.07,4.36,0.06,5.61,1.31,12.48,4.9,0.84,5.34,3.91,1.09,0.86,0.77,8.24,1.44,7725571350,4.77,6290493650.0,3.89
ECHO,ECHO-INVESTMENT,3.85,1.16,-0.27,,1.98,2.25,0.0,1694.84,-4.66,,12.21,6.15,285.45,4638.63,-7.11,-1.6,0.13,-13.79,11.0,-6.12,33.29,0.02,0.73,3.24,1.93,0.02,1.21,0.66,1.6,0.66,4790495000,271.45,3196956000.0,181.15
EDINVEST,ED-INVEST,5.06,1.26,0.16,38.97,4.7,1.36,0.19,32.91,4.84,1.32,6.88,1.46,27.52,35.47,3.24,1.92,4.12,3.48,4.58,4.81,22.21,2.28,0.41,0.68,0.26,0.15,29.01,0.75,0.42,9.62,38678000,12.5,6141000.0,1.98
ELKOP,EKP,14.74,,-10.0,,-3.26,,-8.43,,0.02,,,,,,-67.81,-67.8,258.55,306.55,31.88,209.58,49.8,-57.18,0.0,0.0,,,,,0.15,0.15,29287,-0.0,-4184.0,0.0
ECBSA,ELEKTROCIEPLOWNIA-BEDZIN,7.04,3.59,2.85,8.86,25.86,0.98,2.78,9.08,1.82,13.9,24.49,0.95,7.88,8.8,40.45,27.9,10.76,11.02,10.9,13.76,,27.25,0.31,0.45,0.12,5.99,1.51,0.77,0.64,0.86,4328000,0.44,-2397000.0,-0.25
ELEKTROTI,ELEKTROTIM,13.86,3.39,3.74,12.6,55.46,0.85,5.21,9.03,9.61,4.9,45.62,0.82,8.05,8.76,26.95,15.96,9.4,6.74,9.37,8.57,15.39,22.27,0.41,0.69,0.17,0.83,3.8,0.7,0.5,1.61,67549000,1.19,-14234000.0,-0.25
ENEA,ENA,30.87,0.5,2.7,5.68,60.75,0.25,5.95,2.57,-6.38,,18.95,0.31,2.18,3.18,8.74,4.14,9.8,4.44,10.28,7.84,,9.14,0.49,1.04,0.61,1.9,1.27,0.76,1.25,0.98,11736030000,2.54,1922663000.0,0.42
ENELMED,ENEL-MED,6.33,3.02,0.69,27.84,26.97,0.71,1.14,16.76,-9.66,,27.06,1.0,7.02,23.74,10.84,3.56,4.23,2.54,3.59,3.32,8.78,5.92,0.67,2.04,1.29,1.83,0.9,0.75,3.96,1.57,316832000,2.9,225061000.0,2.06
ENERGA,ENERGA,29.53,0.41,0.87,13.72,54.18,0.22,3.46,3.46,-37.11,,48.76,0.9,7.34,14.11,2.95,1.04,6.38,1.61,9.24,2.89,14.72,4.12,0.62,1.77,1.19,1.84,0.94,0.77,3.45,1.48,19884000000,7.23,15237000000.0,5.54
ENERGOINS,ENERGOINSTAL,2.19,0.96,-0.49,,2.83,0.75,-0.43,,-1.7,,2.7,0.95,-11.07,-6.33,-22.47,-7.63,-15.08,-17.41,-17.46,-21.47,1.58,-6.61,0.66,1.94,0.32,5.15,0.74,0.45,1.66,0.94,69287000,-15.77,10641000.0,-2.42
ENTER,ENT,21.27,2.82,8.94,6.71,170.93,0.35,14.29,4.2,-105.52,,163.25,0.96,4.86,11.42,42.04,5.9,8.36,5.23,8.05,6.25,10.49,9.43,0.86,6.13,4.25,1.29,0.88,0.74,5.26,0.88,2092398000,3.55,1811324000.0,3.07
EQUNICO,EQU,0.49,1.75,0.03,26.08,0.33,2.6,0.02,36.3,-0.24,,0.93,2.83,20.62,39.38,6.71,2.42,7.17,9.99,4.34,12.25,,1.74,0.32,0.88,0.48,4.82,0.62,0.53,2.3,0.96,132168000,9.28,22975000.0,1.61
ERBUD,ERBUD,39.55,0.98,-3.75,,257.22,0.15,-0.32,,-0.65,,51.78,0.2,14.67,-160.75,-9.49,-2.18,-0.13,-1.46,-0.32,-0.91,6.97,-0.19,0.7,3.06,0.67,1.06,1.27,0.38,1.01,0.77,1224708000,29.08,153685000.0,3.65
ESOTIQ,ESOTIQ-HENDERSON,30.33,1.21,4.75,7.73,135.26,0.27,7.72,4.76,-8.67,,73.68,0.54,4.79,9.55,15.66,5.01,5.7,3.51,5.02,4.42,67.43,8.14,0.68,2.13,0.58,1.54,1.23,0.5,1.16,0.9,141584000,4.12,82587000.0,2.4
EUROCASH,EUROCASH,4.54,1.94,-0.18,,226.28,0.04,1.99,4.43,-30.01,,26.43,0.12,4.02,13.29,-4.05,-0.3,0.88,-0.08,0.68,0.09,13.47,3.2,0.91,12.49,3.57,1.08,0.59,0.33,2.12,0.27,7387240000,8.07,2453184000.0,2.68
EUCO,EUROPEJSKIE-CENTRUM-ODSZKODOWAN,-14.44,,2.1,0.94,2.51,0.78,2.17,0.91,-15.0,,6.19,2.46,2.71,2.85,-14.54,102.13,86.45,83.51,-18.19,86.17,3.39,105.72,8.02,-1.14,-0.65,0.06,-8.9,-2.43,11.03,-284.19,92067000,7.2,23607000.0,1.85
EUROTEL,EUROTEL,21.38,0.94,3.27,6.18,132.45,0.15,4.41,4.58,6.34,3.19,15.14,0.11,2.0,3.43,15.29,7.6,3.33,2.47,3.88,3.25,21.49,10.25,0.46,0.92,0.17,2.74,1.59,0.58,0.76,0.95,45861000,1.62,-18983000.0,-0.67
FABRITY,FAB,11.96,2.33,2.56,10.85,26.04,1.07,2.09,13.27,9.33,2.98,24.24,0.93,8.62,11.57,21.44,14.92,8.04,9.84,8.53,5.99,,12.19,0.29,0.41,0.13,0.51,4.6,0.79,0.35,1.41,759000,0.1,-9910000.0,-1.27
FASING,FASING,56.44,0.22,3.5,3.57,83.74,0.15,8.23,1.52,16.3,0.77,32.92,0.39,2.75,4.0,6.21,3.2,9.83,4.18,10.48,5.92,40.95,7.53,0.43,0.83,0.08,7.77,1.32,0.56,0.74,0.9,135872000,3.65,63442000.0,1.7
FEERUM,FEERUM,12.03,0.85,-0.1,,9.27,1.11,-0.04,,5.61,1.83,10.47,1.13,18.4,-284.53,-0.8,-0.59,-0.4,-1.04,-0.07,-1.61,10.07,-0.22,0.27,0.37,0.06,4.99,1.99,0.77,0.45,0.83,39823000,7.34,2106000.0,0.39
FERRO,FERRO,21.96,1.64,3.56,10.12,36.71,0.98,4.7,7.66,8.37,4.3,42.3,1.15,7.66,9.0,16.19,9.55,12.8,9.69,22.85,11.83,,12.62,0.4,0.69,0.07,2.74,1.7,0.63,0.64,1.02,282998000,2.41,133758000.0,1.14
FMG,FMG,211.27,0.5,14.3,7.34,406.99,0.26,40.33,2.6,4.8,21.89,128.66,0.32,2.3,3.19,6.77,4.61,9.91,3.51,0.68,5.16,,13.01,0.32,0.47,0.24,0.91,1.27,0.84,0.95,0.98,25546000,1.33,8129000.0,0.42
FORTE,FORTE,38.78,0.74,2.1,13.59,46.02,0.62,2.99,9.54,2.45,11.64,38.57,0.84,7.25,12.91,5.41,3.39,6.49,4.56,6.51,5.6,35.02,4.83,0.37,0.59,0.33,2.5,1.42,0.83,0.9,0.96,436077000,3.43,240885000.0,1.89
GETIN,GETIN-HOLDING,0.93,0.69,0.71,0.91,-0.38,,-0.04,,,,,,,,75.97,19.22,10.92,-184.11,,,,-1.14,0.75,2.95,,,,,,,521015000,305.04,,
GAMFACTOR,GIF,2.17,5.01,-1.55,,0.54,19.97,-1.26,,-0.64,,10.75,19.78,-11.07,-8.52,-71.76,-47.63,-232.07,-286.1,-86.25,-292.16,,-38.64,0.33,0.5,0.43,0.09,1.1,0.95,2.45,1.88,4641000,-0.79,-619000.0,0.1
GIGROUP,GIG,0.41,4.39,-0.0,,3.29,0.55,0.02,116.07,-0.02,,1.96,0.59,44.93,125.22,-0.06,-0.02,0.47,-0.01,-0.58,0.48,,1.24,0.67,2.04,0.12,1.32,1.08,0.37,1.02,0.98,103322000,15.02,22569000.0,3.28
IMMOBILE,GKI,1.44,1.58,-0.98,,11.48,0.2,0.93,2.45,-4.36,,7.47,0.65,4.8,8.07,-68.34,-8.58,8.07,-8.55,7.95,5.06,21.07,8.1,0.8,6.36,2.65,1.26,0.79,0.46,1.91,0.41,676613000,5.78,391591000.0,3.34
GENOMTEC,GMT,1.02,7.72,-0.79,,0.16,48.71,-0.78,,0.48,16.4,7.09,43.85,-11.48,-9.14,-77.48,-49.18,-479.79,-488.77,-479.92,-485.7,-105.82,-48.28,0.37,0.58,0.24,0.7,2.34,0.78,0.55,1.04,-5109000,0.56,-11684000.0,1.27
GOBARTO,GOBARTO,20.79,1.2,0.31,81.65,135.0,0.18,1.49,16.73,-9.4,,38.03,0.28,10.43,25.55,1.47,0.59,1.1,0.23,0.92,0.34,9.33,2.87,0.6,1.5,0.5,2.31,1.03,0.6,1.43,0.99,807691000,7.96,365079000.0,3.6
GAMEOPS,GOP,5.47,3.18,2.47,7.03,5.37,3.24,2.69,6.47,4.1,4.25,14.98,2.79,5.32,5.57,45.2,39.61,50.09,46.08,52.78,49.76,,43.06,0.12,0.14,0.05,2.15,4.16,0.92,0.16,0.63,-9675000,-0.62,-13332000.0,-0.86
GRUPRACUJ,GPP,7.03,8.26,3.09,18.81,11.41,5.09,4.48,12.97,-3.47,,57.71,5.06,11.5,12.88,43.92,19.05,39.26,27.08,39.22,35.37,,27.62,0.57,1.31,0.42,0.2,0.95,0.61,1.61,1.08,344785000,1.01,-26763000.0,-0.08
GPW,GPW,26.61,1.7,4.1,11.06,11.41,3.97,2.75,16.51,6.82,6.65,42.34,3.71,12.01,15.41,15.4,12.14,24.08,35.92,32.23,42.08,,8.14,0.21,0.26,0.09,1.42,1.44,0.86,0.5,0.67,-164634000,-1.11,-126226000.0,-0.85
GRENEVIA,GRENEVIA,3.76,0.68,0.58,4.4,3.28,0.78,0.52,4.99,1.12,2.29,2.81,0.86,2.96,5.45,15.55,8.66,15.72,17.84,20.18,18.64,35.1,7.63,0.41,0.74,0.45,1.2,1.91,0.81,0.71,0.94,656000000,1.2,136000000.0,0.25
GRODNO,GRODNO,8.72,1.03,-1.26,,77.58,0.12,-0.83,,-1.47,,17.75,0.23,-122.0,-21.4,-14.48,-4.07,-1.07,-1.63,0.38,-1.81,,-2.67,0.72,2.56,0.2,4.61,1.02,0.34,1.07,0.92,339562000,-151.73,135060000.0,-60.35
GTC,GTC,8.22,0.47,0.32,12.16,1.43,2.72,0.74,5.25,-12.75,,15.44,10.82,20.58,20.87,3.88,1.39,51.83,22.36,57.03,26.65,68.18,3.23,0.63,1.74,1.51,0.01,0.97,0.9,9.12,3.51,7645500000,17.75,6636900000.0,15.41
HARPER,HARPER-HYGIENICS,10.8,0.41,0.99,4.47,36.94,0.12,2.04,2.17,-12.23,,19.19,0.52,6.08,9.42,9.19,2.47,5.52,2.68,6.31,3.3,31.19,5.07,0.73,2.72,1.54,1.22,1.19,0.68,1.71,0.8,186909000,9.31,93996000.0,4.68
HELIO,HELIO,32.88,0.64,3.5,6.0,83.55,0.25,5.51,3.81,19.81,1.06,20.56,0.25,3.17,3.73,10.64,6.04,6.59,4.19,6.57,5.26,23.33,9.5,0.42,0.73,0.1,4.09,2.65,0.63,0.55,1.28,118110000,3.64,-2182000.0,-0.07
HERKULES,HERKULES,2.48,0.38,-0.11,,3.12,0.3,-0.15,,-3.21,,1.75,0.56,4.67,-11.31,-4.36,-1.55,-4.96,-3.47,-7.18,-4.41,,-2.21,0.65,1.82,0.57,3.75,0.68,0.56,3.47,1.51,140679000,11.01,27679000.0,2.17
HUUUGE,HUG,12.55,1.52,4.52,4.23,16.24,1.18,4.95,3.87,11.0,1.74,8.94,0.55,1.61,1.81,36.05,31.77,30.49,27.86,31.91,32.92,73.4,34.77,0.12,0.13,0.02,1.95,8.22,0.9,0.13,1.08,-547196473,-1.64,-611649133.0,-1.84
HYDROTOR,HYDROTOR,48.24,0.48,-4.73,,46.68,0.5,-4.9,,4.34,5.37,36.39,0.78,83.76,-7.43,-9.8,-6.1,-10.5,-10.13,-13.19,-11.82,1.52,-6.32,0.38,0.61,0.21,4.28,1.33,0.75,0.87,0.95,68380000,65.62,31400000.0,30.13
IBSM,IBSM,109.29,0.67,3.75,19.51,59.47,1.23,-0.14,,19.14,3.82,237.78,4.0,51.15,-1672.16,3.43,1.25,-0.24,6.31,-5.45,6.31,,-0.05,0.64,1.74,0.76,0.07,2.14,0.64,0.91,1.1,-2183000,-1.21,63657000.0,35.4
MEDINICE,ICE,10.44,0.79,4.92,1.67,0.02,488.25,4.89,1.68,0.23,35.21,7.44,442.19,1.51,1.52,47.14,44.21,29017.05,29221.71,-3459.69,29200.0,,43.9,0.06,0.07,0.04,0.19,1.06,0.97,0.75,0.76,-945000,-0.03,-5941000.0,-0.16
IFIRMA,IFI,2.52,9.35,1.65,14.27,9.44,2.5,1.91,12.36,1.04,22.64,22.89,2.43,11.48,11.99,65.53,39.26,20.23,17.53,20.48,21.86,36.81,45.31,0.24,0.4,,,,,0.49,0.58,-995000,-0.08,-4522000.0,-0.35
IMPERIO,IMP,1.89,0.7,0.14,9.52,0.01,154.29,0.14,9.46,1.89,0.7,1.3,151.53,9.21,9.29,7.33,6.89,1631.34,1620.9,-716.42,1620.9,,6.94,0.0,0.0,,,,,0.0,0.01,-13764000,-12.49,-185000.0,-0.17
IMS,IMS,1.25,2.94,0.28,12.9,1.9,1.93,0.41,8.98,-0.64,,4.26,2.24,7.49,10.45,22.79,10.56,21.47,14.95,21.98,18.6,,15.17,0.45,0.97,0.32,1.07,0.77,0.61,2.14,1.26,40960000,2.05,21001000.0,1.05
INC,INC,1.07,2.33,0.04,65.4,0.48,5.19,-0.01,,0.96,2.61,2.42,5.03,36.43,-309.0,3.57,1.91,-1.63,7.93,-20.81,-9.17,62.58,-0.39,0.28,0.52,0.24,1.24,2.69,0.66,0.37,0.79,-12609000,-12.6,-1146000.0,-1.14
IMCOMPANY,INDUSTRIAL-MILK-COMPANY,20.26,1.61,6.66,4.91,22.76,1.44,7.93,4.12,-2.27,,43.52,1.91,4.35,5.49,32.89,17.71,34.83,29.28,-2.04,29.65,16.04,21.07,0.46,0.86,0.67,1.64,1.51,0.9,1.15,1.04,448092635,1.26,384184842.0,1.08
INGBSK,ING-BANK-SLASKI,144.57,2.2,33.74,9.42,124.1,2.56,42.54,7.48,,,,,,,23.34,1.63,34.28,27.19,,,,2.06,0.93,13.31,,,,,,,173867000000,29.66,,
INPRO,INPRO,12.7,0.54,1.17,5.81,9.29,0.73,1.78,3.81,8.95,0.76,9.6,1.03,4.83,5.38,9.21,5.14,19.21,12.59,19.22,17.33,33.89,7.84,0.4,0.72,0.22,0.54,3.35,0.68,0.51,1.4,270118000,3.39,112280000.0,1.41
INSTALKRK,INSTAL-KRAKOW,52.59,0.7,5.79,6.39,44.81,0.83,7.16,5.17,17.94,2.06,38.07,0.85,4.82,5.31,11.01,8.4,15.99,12.93,12.79,16.3,27.58,10.39,0.22,0.28,0.08,1.38,1.56,0.82,0.45,0.66,100366000,1.74,7779000.0,0.14
INTERCARS,INTER-CARS,369.57,1.42,51.01,10.31,1392.14,0.38,76.64,6.86,206.45,2.55,736.78,0.53,8.02,9.61,13.8,6.36,5.51,3.66,5.73,4.59,29.57,9.56,0.54,1.17,0.38,0.88,3.13,0.64,0.68,1.53,5600403000,4.3,2986350000.0,2.29
INTERBUD,INTERBUD-LUBLIN,1.28,1.36,-0.28,,0.44,4.02,-0.27,,1.04,1.68,2.87,6.59,-11.24,-10.72,-21.64,-6.65,-61.49,-63.84,-49.91,-70.07,35.25,-6.4,0.72,2.35,0.87,0.03,18.9,0.58,0.74,7.49,29351000,-11.19,11516000.0,-4.39
INTERSPPL,INTERSPPL,0.02,28.62,-0.29,,1.55,0.37,-0.32,,-1.19,,1.26,0.81,10.29,-3.94,-1416.89,-17.04,-20.62,-18.49,-19.79,-19.59,31.97,-19.01,0.99,82.14,25.57,1.86,0.44,0.32,3.52,0.06,196344000,13.22,82512000.0,5.56
INTROL,INTROL,7.21,1.17,0.97,8.69,24.43,0.35,1.49,5.65,0.26,32.01,11.23,0.46,5.05,7.51,13.47,5.23,6.12,3.98,7.83,5.05,22.3,8.04,0.6,1.53,0.37,2.41,1.37,0.53,0.98,0.97,234560000,4.11,71662000.0,1.25
IPOPEMA,IPOPEMA,4.03,0.81,0.25,13.31,8.32,0.39,0.35,9.31,3.53,0.93,-2.0,-0.24,-4.0,-5.67,6.11,1.66,4.24,2.96,2.8,4.45,,2.37,0.71,2.63,,,,,0.75,4.24,91924000,6.15,-158011000.0,-10.57
IZOBLOK,IZOBLOK,74.86,0.49,-3.08,,206.13,0.18,-0.39,,-58.54,,132.78,0.64,15.44,-340.56,-4.11,-1.34,-0.19,-1.49,-1.35,-2.97,,-0.17,0.67,2.06,1.18,1.29,1.23,0.71,1.61,0.9,181803000,16.69,121359000.0,11.14
IZOLACJA,IZOLACJA-JAROCIN,4.89,0.75,0.38,9.55,8.94,0.41,0.51,7.2,3.48,1.05,2.68,0.3,3.81,5.29,7.82,5.81,5.67,4.28,7.38,5.62,29.83,7.71,0.16,0.21,0.01,43.74,2.71,0.75,0.23,0.55,277000,0.1,-3682000.0,-1.38
IZOSTAL,IZOSTAL,8.01,0.35,0.31,9.01,28.38,0.1,0.7,3.96,1.78,1.57,9.53,0.34,8.82,13.54,3.87,1.27,2.48,1.09,2.35,1.41,8.22,2.89,0.67,2.04,0.12,5.67,1.44,0.37,0.9,1.16,518106000,14.65,220622000.0,6.24
JRH,JRH,3.27,1.95,-0.6,,0.0,1648.0,-0.7,,3.21,1.99,6.38,1647.35,-9.07,-9.06,-18.29,-15.07,-18186.36,-15444.32,-9725.57,-18438.07,,-17.74,0.18,0.21,,,,,0.18,9.89,-129747000,4.06,-114000.0,0.0
JSW,JSW-JASTRZEBSKA-SPOLKA-WEGLOWA,67.75,0.34,-73.2,,88.14,0.26,-83.65,,-71.27,,37.66,0.43,-0.54,-0.45,-108.05,-42.99,-94.9,-83.05,-30.29,-96.73,-16.42,-49.12,0.58,1.46,0.55,2.08,0.74,0.62,3.61,1.71,10470300000,-1.27,1751800000.0,-0.21
JWWINVEST,JWW-INVEST,3.64,0.84,0.44,7.01,12.47,0.24,0.56,5.4,2.26,1.35,2.92,0.23,3.83,5.17,11.96,5.87,4.53,3.49,4.56,4.34,,7.6,0.51,1.03,0.05,6.79,2.73,0.51,0.62,1.63,36657000,4.37,-1462000.0,-0.17
KCI,KCI,4.81,0.19,-0.2,,0.02,43.04,-0.35,,-0.3,,0.93,42.9,-2.65,-2.65,-4.25,-3.82,-1619.5,-945.82,-263.97,-1596.56,,-6.54,0.1,0.11,0.01,0.69,0.95,0.91,2.27,2.13,26763000,-1.12,-208000.0,0.01
KERNEL,KERNEL,27.03,0.7,2.41,7.9,55.08,0.35,3.82,4.98,10.65,1.79,21.62,0.39,4.1,5.66,8.91,5.54,6.94,4.37,10.27,5.67,16.28,8.79,0.38,0.61,0.27,2.08,2.09,0.79,0.61,1.0,930929192,0.6,762766448.0,0.49
KETY,KETY,211.63,3.91,54.34,15.22,538.39,1.54,73.39,11.27,-49.04,,965.22,1.79,10.06,13.15,25.68,12.17,13.63,10.09,13.09,12.16,,16.44,0.53,1.11,0.57,1.88,1.28,0.75,1.26,1.03,2234000000,2.38,1350000000.0,1.44
KGHM,KGHM,156.72,0.8,13.87,9.04,179.74,0.7,24.1,5.21,-53.5,,152.07,0.85,4.39,6.31,8.85,5.12,13.41,7.72,11.99,12.91,18.28,8.9,0.42,0.73,0.38,2.31,1.03,0.8,1.89,1.41,21375000000,3.09,5323000000.0,0.77
KGL,KGL,18.06,0.79,-1.09,,74.42,0.19,0.55,25.82,-9.63,,32.67,0.44,7.01,59.41,-6.04,-2.05,0.74,-1.47,0.04,-1.61,13.96,1.03,0.63,1.85,0.47,3.24,0.96,0.5,1.41,0.86,230671000,7.01,130306000.0,3.96
KINOPOL,KINO-POLSKA-TV,15.84,1.24,3.38,5.8,15.97,1.23,4.29,4.56,7.05,2.78,18.91,1.18,2.49,4.4,21.35,15.99,26.89,21.17,26.95,27.8,,20.3,0.25,0.34,0.07,0.61,1.93,0.8,0.43,0.77,-23911000,-0.16,-13743000.0,-0.09
KOGENERA,KOGENERACJA,165.47,0.3,12.88,3.84,172.58,0.29,14.12,3.51,-30.23,,76.61,0.44,2.63,5.43,7.79,4.54,8.18,7.46,8.13,9.26,12.79,4.98,0.42,0.71,0.23,4.89,1.04,0.72,1.34,1.14,1725827000,3.97,404002000.0,0.93
KOMPUTRON,KOMPUTRONIK,24.48,0.2,-1.63,,173.54,0.03,-0.66,,9.77,0.51,6.91,0.04,6.11,-10.44,-6.64,-3.42,-0.38,-0.94,-0.49,-0.95,11.67,-1.39,0.48,0.94,0.29,1.01,2.14,0.66,0.7,1.17,209544000,18.91,18617000.0,1.68
KPPD,KPD,63.98,0.44,-25.54,,201.64,0.14,-22.68,,6.87,4.08,24.17,0.12,-2.29,-1.07,-39.91,-22.33,-11.25,-12.67,-10.31,-11.87,4.81,-19.83,0.38,0.68,0.05,17.16,1.16,0.59,0.86,0.86,64381000,-3.76,-6215000.0,0.36
KRAKCHEM,KRAKCHEMIA,-7.11,,-1.5,,4.21,0.27,-0.78,,0.1,11.47,1.4,0.33,-2.12,-1.8,21.04,-92.15,-18.49,-35.52,-16.7,-35.72,12.57,-47.98,0.56,-0.13,,,,,0.9,-10.31,7556000,-1.27,2562000.0,-0.43
KRKA,KRKA,307.08,2.33,53.21,13.42,252.78,2.82,56.66,12.6,174.78,4.09,656.15,2.6,9.57,11.58,17.33,13.47,22.41,21.05,22.08,24.62,57.48,14.34,0.22,0.28,0.07,5.0,2.43,0.83,0.33,0.75,-228633399,-0.1,-1897080674.0,-0.84
KRUK,KRUK,246.37,1.53,50.9,7.41,152.69,2.47,71.55,5.27,233.01,1.62,691.53,4.53,9.25,9.66,20.66,8.47,46.86,33.33,46.86,32.61,,11.91,0.59,1.44,1.28,0.02,42.16,0.94,0.6,11.13,-4432843000,-3.06,6092928000.0,4.2
KSGAGRO,KSG-AGRO,1.89,1.82,1.19,2.9,6.44,0.53,0.85,4.04,-1.26,,7.36,1.14,6.08,8.65,63.0,11.76,13.22,18.45,13.22,18.45,20.16,8.43,0.81,4.35,0.44,3.07,0.86,0.27,1.18,0.71,92434056,5.08,58946032.0,3.24
KRVITAMIN,KVT,7.75,1.16,1.17,7.7,31.45,0.29,1.49,6.02,-1.76,,12.31,0.39,4.62,8.26,15.05,6.47,4.74,3.71,4.68,4.18,17.02,8.28,0.52,1.21,0.16,8.21,0.95,0.5,1.23,0.92,114711000,3.51,40813000.0,1.25
LENA,LENA-LIGHTING,4.43,0.68,0.08,36.31,5.49,0.55,0.13,22.82,2.29,1.31,3.06,0.56,7.66,23.26,1.86,1.56,2.4,1.51,2.38,2.25,33.65,2.48,0.16,0.19,0.01,65.32,2.07,0.84,0.27,0.55,19349000,1.95,1438000.0,0.14
LENTEX,LENTEX,6.41,1.09,0.37,18.88,7.9,0.88,0.57,12.27,2.45,2.85,6.44,0.81,7.0,11.31,5.77,3.18,7.2,4.68,7.63,7.97,27.25,4.89,0.19,0.34,0.16,4.51,1.06,0.64,0.47,0.43,45142000,1.23,-21722000.0,-0.59
LESS,LES,0.0,14605.69,-0.01,,0.0,,-0.01,,-0.0,,0.22,,-26.04,-26.01,-78150.0,-420.16,,,,,,-299.73,0.99,185.0,0.5,,0.1,0.01,1.09,0.07,165000,-0.15,-205000.0,0.18
